"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"free agencyZaur Pachulia / Zaza Pachulia","2016-07-12","Zaur Pachulia / Zaza Pachulia","free agency","Warriors","signed unrestricted free agent to a 1-year, $2.9M contract","On 2016-07-12, Zaur Pachulia / Zaza Pachulia is signed unrestricted free agent to a 1-year, $2.9M contract by Warriors",FALSE,FALSE,"Warriors"
"cashTroy Daniels","2016-07-12","Troy Daniels","cash","Grizzlies","trade with Hornets","On 2016-07-12, Grizzlies make trade with Hornets for Troy Daniels, and in exhchange give cash to them.",FALSE,FALSE,"Grizzlies, Hornets"
"trade exceptionTroy Daniels","2016-07-12","Troy Daniels","trade exception","Grizzlies","trade with Hornets","On 2016-07-12, Grizzlies make trade with Hornets for Troy Daniels, and in exhchange give traded player exception to them.",FALSE,FALSE,"Grizzlies, Hornets"
"free agencyWillie Reed","2016-07-13","Willie Reed","free agency","Heat","signed unrestricted free agent to a 2-year contract","On 2016-07-13, Willie Reed is signed unrestricted free agent to a 2-year contract by Heat",FALSE,FALSE,"Heat"
"free agencyMaurice Ndour / Maurice N'dour","2016-07-13","Maurice Ndour / Maurice N'dour","free agency","Knicks","signed free agent to a 2-year minimum contract","On 2016-07-13, Maurice Ndour / Maurice N'dour is signed free agent to a 2-year minimum contract by Knicks",FALSE,FALSE,"Knicks"
"free agencyGreivis Vasquez","2016-07-13","Greivis Vasquez","free agency","Nets","signed unrestricted free agent to a 1-year, $5M contract","On 2016-07-13, Greivis Vasquez is signed unrestricted free agent to a 1-year, $5M contract by Nets",FALSE,FALSE,"Nets"
"free agencyLuis Scola","2016-07-13","Luis Scola","free agency","Nets","signed unrestricted free agent to a 1-year contract","On 2016-07-13, Luis Scola is signed unrestricted free agent to a 1-year contract by Nets",FALSE,FALSE,"Nets"
"free agencyMalcolm Delaney","2016-07-14","Malcolm Delaney","free agency","Hawks","signed free agent","On 2016-07-14, Malcolm Delaney is signed free agent by Hawks",FALSE,FALSE,"Hawks"
"free agencyNicolas Brussino","2016-07-14","Nicolas Brussino","free agency","Mavericks","signed free agent to a 3-year contract","On 2016-07-14, Nicolas Brussino is signed free agent to a 3-year contract by Mavericks",FALSE,FALSE,"Mavericks"
"free agencyRandy Foye","2016-07-14","Randy Foye","free agency","Nets","signed unrestricted free agent to a 1-year contract","On 2016-07-14, Randy Foye is signed unrestricted free agent to a 1-year contract by Nets",FALSE,FALSE,"Nets"
"free agencyJared Sullinger","2016-07-14","Jared Sullinger","free agency","Raptors","signed unrestricted free agent to a 1-year, $6M contract","On 2016-07-14, Jared Sullinger is signed unrestricted free agent to a 1-year, $6M contract by Raptors",FALSE,FALSE,"Raptors"
"Bryn Forbesfree agency","2016-07-14","Bryn Forbes","free agency","Spurs","signed free agent","On 2016-07-14, Bryn Forbes is signed free agent by Spurs",FALSE,FALSE,"Spurs"
"Dewayne Dedmonfree agency","2016-07-14","Dewayne Dedmon","free agency","Spurs","signed unrestricted free agent to a 2-year, $6M contract","On 2016-07-14, Dewayne Dedmon is signed unrestricted free agent to a 2-year, $6M contract by Spurs",FALSE,FALSE,"Spurs"
"free agencyPau Gasol","2016-07-14","Pau Gasol","free agency","Spurs","signed unrestricted free agent to a 2-year, $30M contract (second year is player option)","On 2016-07-14, Pau Gasol is signed unrestricted free agent to a 2-year, $30M contract (second year is player option) by Spurs",FALSE,FALSE,"Spurs"
"free agencyRyan Arcidiacono","2016-07-14","Ryan Arcidiacono","free agency","Spurs","signed free agent to a 2-year contract","On 2016-07-14, Ryan Arcidiacono is signed free agent to a 2-year contract by Spurs",FALSE,FALSE,"Spurs"
"Chukwudiebere Maduabum / Chu Chu MaduabumSasha Kaun","2016-07-15","Sasha Kaun","Chukwudiebere Maduabum / Chu Chu Maduabum","76ers","trade with Cavaliers","On 2016-07-15, 76ers make trade with Cavaliers for Sasha Kaun, and in exhchange give rights to Chukwudiebere Maduabum / Chu Chu Maduabum to them.",FALSE,TRUE,"76ers, Cavaliers"
"cashChukwudiebere Maduabum / Chu Chu Maduabum","2016-07-15","cash","Chukwudiebere Maduabum / Chu Chu Maduabum","76ers","trade with Cavaliers","On 2016-07-15, 76ers make trade with Cavaliers for cash, and in exhchange give rights to Chukwudiebere Maduabum / Chu Chu Maduabum to them.",FALSE,TRUE,"76ers, Cavaliers"
"Dwyane Wadefree agency","2016-07-15","Dwyane Wade","free agency","Bulls","signed unrestricted free agent to a 2-year, $47M contract","On 2016-07-15, Dwyane Wade is signed unrestricted free agent to a 2-year, $47M contract by Bulls",FALSE,FALSE,"Bulls"
"free agencyMatt Costello","2016-07-15","Matt Costello","free agency","Hawks","signed free agent to a 2-year contract","On 2016-07-15, Matt Costello is signed free agent to a 2-year contract by Hawks",FALSE,FALSE,"Hawks"
"free agencyOkaro White","2016-07-15","Okaro White","free agency","Heat","signed free agent","On 2016-07-15, Okaro White is signed free agent by Heat",FALSE,FALSE,"Heat"
"free agencyJonathan Gibson","2016-07-15","Jonathan Gibson","free agency","Mavericks","signed free agent to a 3-year contract","On 2016-07-15, Jonathan Gibson is signed free agent to a 3-year contract by Mavericks",FALSE,FALSE,"Mavericks"
"free agencySeth Curry","2016-07-15","Seth Curry","free agency","Mavericks","signed unrestricted free agent to a 2-year, $6M contract","On 2016-07-15, Seth Curry is signed unrestricted free agent to a 2-year, $6M contract by Mavericks",FALSE,FALSE,"Mavericks"
"C.J. WilcoxRoy Devyn Marble / Roy Marble (Devyn","2016-07-15","Roy Devyn Marble / Roy Marble (Devyn","C.J. Wilcox","Clippers","trade with Magic","On 2016-07-15, Clippers make trade with Magic for Roy Devyn Marble / Roy Marble (Devyn), and in exhchange give C.J. Wilcox to them.",FALSE,FALSE,"Clippers, Magic"
"cashRoy Devyn Marble / Roy Marble (Devyn","2016-07-15","Roy Devyn Marble / Roy Marble (Devyn","cash","Clippers","trade with Magic","On 2016-07-15, Clippers make trade with Magic for Roy Devyn Marble / Roy Marble (Devyn), and in exhchange give cash to them.",FALSE,FALSE,"Clippers, Magic"
"free agencyRoy Devyn Marble / Roy Marble (Devyn","2016-07-15","free agency","Roy Devyn Marble / Roy Marble (Devyn","Clippers","waived","On 2016-07-15, Roy Devyn Marble / Roy Marble (Devyn) becomes a free agent from Clippers",FALSE,FALSE,"Clippers"
"Branden Dawsonfree agency","2016-07-16","free agency","Branden Dawson","Clippers","waived","On 2016-07-16, Branden Dawson becomes a free agent from Clippers",FALSE,FALSE,"Clippers"
"Fred VanVleetfree agency","2016-07-16","Fred VanVleet","free agency","Raptors","signed free agent","On 2016-07-16, Fred VanVleet is signed free agent by Raptors",FALSE,FALSE,"Raptors"
"free agencySasha Kaun","2016-07-17","free agency","Sasha Kaun","76ers","waived","On 2016-07-17, Sasha Kaun becomes a free agent from 76ers",FALSE,FALSE,"76ers"
"Brandon Bassfree agency","2016-07-19","Brandon Bass","free agency","Clippers","signed unrestricted free agent to a 1-year minimum contract","On 2016-07-19, Brandon Bass is signed unrestricted free agent to a 1-year minimum contract by Clippers",FALSE,FALSE,"Clippers"
"free agencyNene / Nene Hilario / Maybyner Hilario","2016-07-19","Nene / Nene Hilario / Maybyner Hilario","free agency","Rockets","signed unrestricted free agent to a 1-year, $2.9M contract","On 2016-07-19, Nene / Nene Hilario / Maybyner Hilario is signed unrestricted free agent to a 1-year, $2.9M contract by Rockets",FALSE,FALSE,"Rockets"
"free agencyLeandro Barbosa","2016-07-19","Leandro Barbosa","free agency","Suns","signed unrestricted free agent to a 2-year, $8M contract (second year is team option)","On 2016-07-19, Leandro Barbosa is signed unrestricted free agent to a 2-year, $8M contract (second year is team option) by Suns",FALSE,FALSE,"Suns"
"free agencyJordan Hill","2016-07-19","Jordan Hill","free agency","Timberwolves","signed unrestricted free agent to a 2-year, $8M contract","On 2016-07-19, Jordan Hill is signed unrestricted free agent to a 2-year, $8M contract by Timberwolves",FALSE,FALSE,"Timberwolves"
"free agencyIsaiah Canaan","2016-07-20","Isaiah Canaan","free agency","Bulls","signed unrestricted free agent to a 2-year contract","On 2016-07-20, Isaiah Canaan is signed unrestricted free agent to a 2-year contract by Bulls",FALSE,FALSE,"Bulls"
"free agencyKyle Collinsworth","2016-07-20","Kyle Collinsworth","free agency","Mavericks","signed free agent to a 2-year contract","On 2016-07-20, Kyle Collinsworth is signed free agent to a 2-year contract by Mavericks",FALSE,FALSE,"Mavericks"
"free agencyQuincy Acy","2016-07-20","Quincy Acy","free agency","Mavericks","signed unrestricted free agent to a 2-year minimum contract","On 2016-07-20, Quincy Acy is signed unrestricted free agent to a 2-year minimum contract by Mavericks",FALSE,FALSE,"Mavericks"
"Chris Andersenfree agency","2016-07-21","Chris Andersen","free agency","Cavaliers","signed unrestricted free agent to a 1-year minimum contract","On 2016-07-21, Chris Andersen is signed unrestricted free agent to a 1-year minimum contract by Cavaliers",FALSE,FALSE,"Cavaliers"
"Aaron Brooksfree agency","2016-07-21","Aaron Brooks","free agency","Pacers","signed unrestricted free agent to a 1-year, $2.5M contract","On 2016-07-21, Aaron Brooks is signed unrestricted free agent to a 1-year, $2.5M contract by Pacers",FALSE,FALSE,"Pacers"
"E'Twaun Moorefree agency","2016-07-21","E'Twaun Moore","free agency","Pelicans","signed unrestricted free agent to a 4-year, $34M contract","On 2016-07-21, E'Twaun Moore is signed unrestricted free agent to a 4-year, $34M contract by Pelicans",FALSE,FALSE,"Pelicans"
"free agencyLangston Galloway","2016-07-21","Langston Galloway","free agency","Pelicans","signed unrestricted free agent to a 2-year, $10M contract (second year is team option) (P)","On 2016-07-21, Langston Galloway is signed unrestricted free agent to a 2-year, $10M contract (second year is team option) (P) by Pelicans",FALSE,FALSE,"Pelicans"
"free agencySolomon Hill","2016-07-21","Solomon Hill","free agency","Pelicans","signed unrestricted free agent to a 4-year, $52M contract","On 2016-07-21, Solomon Hill is signed unrestricted free agent to a 4-year, $52M contract by Pelicans",FALSE,FALSE,"Pelicans"
"free agencyJarrod Uthoff","2016-07-21","Jarrod Uthoff","free agency","Raptors","signed free agent to a 2-year contract","On 2016-07-21, Jarrod Uthoff is signed free agent to a 2-year contract by Raptors",FALSE,FALSE,"Raptors"
"free agencyTomas Satoransky","2016-07-21","Tomas Satoransky","free agency","Wizards","signed free agent to a 3-year contract","On 2016-07-21, Tomas Satoransky is signed free agent to a 3-year contract by Wizards",FALSE,FALSE,"Wizards"
"Alonzo Geefree agency","2016-07-22","Alonzo Gee","free agency","Pelicans","signed unrestricted free agent to a 1-year minimum contract","On 2016-07-22, Alonzo Gee is signed unrestricted free agent to a 1-year minimum contract by Pelicans",FALSE,FALSE,"Pelicans"
"free agencyTerrence Jones","2016-07-22","Terrence Jones","free agency","Pelicans","signed unrestricted free agent to a 1-year minimum contract","On 2016-07-22, Terrence Jones is signed unrestricted free agent to a 1-year minimum contract by Pelicans",FALSE,FALSE,"Pelicans"
"free agencySheldon McClellan / Sheldon Mac","2016-07-24","Sheldon McClellan / Sheldon Mac","free agency","Wizards","signed free agent","On 2016-07-24, Sheldon McClellan / Sheldon Mac is signed free agent by Wizards",FALSE,FALSE,"Wizards"
"Brandon Paulfree agency","2016-07-25","Brandon Paul","free agency","76ers","signed free agent","On 2016-07-25, Brandon Paul is signed free agent by 76ers",FALSE,FALSE,"76ers"
"free agencyTim Quarterman","2016-07-25","Tim Quarterman","free agency","Blazers","signed free agent to a 2-year contract","On 2016-07-25, Tim Quarterman is signed free agent to a 2-year contract by Blazers",FALSE,FALSE,"Blazers"
"free agencyRaymond Felton","2016-07-25","Raymond Felton","free agency","Clippers","signed unrestricted free agent to a 1-year minimum contract","On 2016-07-25, Raymond Felton is signed unrestricted free agent to a 1-year minimum contract by Clippers",FALSE,FALSE,"Clippers"
"Dion Waitersfree agency","2016-07-25","Dion Waiters","free agency","Heat","signed unrestricted free agent to a 2-year, $5.9M contract","On 2016-07-25, Dion Waiters is signed unrestricted free agent to a 2-year, $5.9M contract by Heat",FALSE,FALSE,"Heat"
"free agencyMike Tobey","2016-07-25","Mike Tobey","free agency","Hornets","signed free agent","On 2016-07-25, Mike Tobey is signed free agent by Hornets",FALSE,FALSE,"Hornets"
"Beau Beechfree agency","2016-07-25","Beau Beech","free agency","Nets","signed free agent to a 1-year contract","On 2016-07-25, Beau Beech is signed free agent to a 1-year contract by Nets",FALSE,FALSE,"Nets"
"free agencyTroy Williams","2016-07-26","Troy Williams","free agency","Grizzlies","signed free agent","On 2016-07-26, Troy Williams is signed free agent by Grizzlies",FALSE,FALSE,"Grizzlies"
"free agencyTreveon Graham","2016-07-26","Treveon Graham","free agency","Hornets","signed free agent","On 2016-07-26, Treveon Graham is signed free agent by Hornets",FALSE,FALSE,"Hornets"
"Danuel Housefree agency","2016-07-26","Danuel House","free agency","Wizards","signed free agent","On 2016-07-26, Danuel House is signed free agent by Wizards",FALSE,FALSE,"Wizards"
"Amare Stoudemire / Amar'e Stoudemirefree agency","2016-07-26","Amare Stoudemire / Amar'e Stoudemire","free agency","Knicks","signed unrestricted free agent","On 2016-07-26, Amare Stoudemire / Amar'e Stoudemire is signed unrestricted free agent by Knicks",FALSE,FALSE,"Knicks"
"free agencyGerald Green (b","2016-07-27","Gerald Green (b","free agency","Celtics","signed unrestricted free agent to a 1-year minimum contract","On 2016-07-27, Gerald Green (b) is signed unrestricted free agent to a 1-year minimum contract by Celtics",FALSE,FALSE,"Celtics"
"free agencyJameel Warney","2016-07-27","Jameel Warney","free agency","Mavericks","signed free agent","On 2016-07-27, Jameel Warney is signed free agent by Mavericks",FALSE,FALSE,"Mavericks"
"free agencyKeith Hornsby","2016-07-27","Keith Hornsby","free agency","Mavericks","signed free agent","On 2016-07-27, Keith Hornsby is signed free agent by Mavericks",FALSE,FALSE,"Mavericks"
"Egidijus Mockeviciusfree agency","2016-07-27","Egidijus Mockevicius","free agency","Nets","signed free agent","On 2016-07-27, Egidijus Mockevicius is signed free agent by Nets",FALSE,FALSE,"Nets"
"free agencyRon Baker","2016-07-29","Ron Baker","free agency","Knicks","signed undrafted free agent to a 1-year contract","On 2016-07-29, Ron Baker is signed undrafted free agent to a 1-year contract by Knicks",FALSE,FALSE,"Knicks"
"free agencyShayne Whittington","2016-07-29","free agency","Shayne Whittington","Pacers","waived","On 2016-07-29, Shayne Whittington becomes a free agent from Pacers",FALSE,FALSE,"Pacers"
"free agencyPablo Prigioni","2016-07-29","Pablo Prigioni","free agency","Rockets","signed unrestricted free agent to a 2-year contract","On 2016-07-29, Pablo Prigioni is signed unrestricted free agent to a 2-year contract by Rockets",FALSE,FALSE,"Rockets"
"free agencyPatricio Garino","2016-07-29","Patricio Garino","free agency","Spurs","signed free agent","On 2016-07-29, Patricio Garino is signed free agent by Spurs",FALSE,FALSE,"Spurs"
"free agencyJ.P. Tokoto","2016-08-01","J.P. Tokoto","free agency","Knicks","signed free agent","On 2016-08-01, J.P. Tokoto is signed free agent by Knicks",FALSE,FALSE,"Knicks"
"DeAndre Ligginsfree agency","2016-08-02","DeAndre Liggins","free agency","Cavaliers","signed free agent to a 1-year minimum contract","On 2016-08-02, DeAndre Liggins is signed free agent to a 1-year minimum contract by Cavaliers",FALSE,FALSE,"Cavaliers"
"Alan Andersonfree agency","2016-08-02","Alan Anderson","free agency","Clippers","signed unrestricted free agent to a 1-year minimum contract","On 2016-08-02, Alan Anderson is signed unrestricted free agent to a 1-year minimum contract by Clippers",FALSE,FALSE,"Clippers"
"Chasson Randlefree agency","2016-08-03","Chasson Randle","free agency","Knicks","signed free agent","On 2016-08-03, Chasson Randle is signed free agent by Knicks",FALSE,FALSE,"Knicks"
"free agencyYogi Ferrell","2016-08-05","Yogi Ferrell","free agency","Nets","signed free agent to a 1-year contract","On 2016-08-05, Yogi Ferrell is signed free agent to a 1-year contract by Nets",FALSE,FALSE,"Nets"
"D.J. Stephensfree agency","2016-08-08","D.J. Stephens","free agency","Grizzlies","signed free agent to a 2-year contract","On 2016-08-08, D.J. Stephens is signed free agent to a 2-year contract by Grizzlies",FALSE,FALSE,"Grizzlies"
"free agencyWayne Selden Jr.","2016-08-08","Wayne Selden Jr.","free agency","Grizzlies","signed free agent","On 2016-08-08, Wayne Selden Jr. is signed free agent by Grizzlies",FALSE,FALSE,"Grizzlies"
"Drew Crawfordfree agency","2016-08-11","Drew Crawford","free agency","Raptors","signed free agent","On 2016-08-11, Drew Crawford is signed free agent by Raptors",FALSE,FALSE,"Raptors"
"free agencyYanick Moreira","2016-08-12","Yanick Moreira","free agency","Raptors","signed free agent","On 2016-08-12, Yanick Moreira is signed free agent by Raptors",FALSE,FALSE,"Raptors"
"free agencyRobert Sacre","2016-08-13","Robert Sacre","free agency","Pelicans","signed unrestricted free agent","On 2016-08-13, Robert Sacre is signed unrestricted free agent by Pelicans",FALSE,FALSE,"Pelicans"
"free agencyRonnie Price","2016-08-13","Ronnie Price","free agency","Thunder","signed unrestricted free agent to a 2-year contract","On 2016-08-13, Ronnie Price is signed unrestricted free agent to a 2-year contract by Thunder",FALSE,FALSE,"Thunder"
"free agencyGrant Jerrett","2016-08-15","Grant Jerrett","free agency","Blazers","signed free agent","On 2016-08-15, Grant Jerrett is signed free agent by Blazers",FALSE,FALSE,"Blazers"
"D.J. Kennedyfree agency","2016-08-16","D.J. Kennedy","free agency","Nuggets","signed free agent","On 2016-08-16, D.J. Kennedy is signed free agent by Nuggets",FALSE,FALSE,"Nuggets"
"free agencyMarcus Georges-Hunt","2016-08-17","Marcus Georges-Hunt","free agency","Celtics","signed free agent","On 2016-08-17, Marcus Georges-Hunt is signed free agent by Celtics",FALSE,FALSE,"Celtics"
"free agencyJason Terry","2016-08-22","Jason Terry","free agency","Bucks","signed unrestricted free agent","On 2016-08-22, Jason Terry is signed unrestricted free agent by Bucks",FALSE,FALSE,"Bucks"
"free agencyYi Jianlian / Jianlian Yi","2016-08-22","Yi Jianlian / Jianlian Yi","free agency","Lakers","signed unrestricted free agent to a 1-year, $8M contract","On 2016-08-22, Yi Jianlian / Jianlian Yi is signed unrestricted free agent to a 1-year, $8M contract by Lakers",FALSE,FALSE,"Lakers"
"free agencyToure' Murry / Toure Murry","2016-08-22","Toure' Murry / Toure Murry","free agency","Timberwolves","signed free agent","On 2016-08-22, Toure' Murry / Toure Murry is signed free agent by Timberwolves",FALSE,FALSE,"Timberwolves"
"free agencyJohn Lucas III","2016-08-24","John Lucas III","free agency","Timberwolves","signed free agent","On 2016-08-24, John Lucas III is signed free agent by Timberwolves",FALSE,FALSE,"Timberwolves"
"free agencyJulyan Stone","2016-08-26","Julyan Stone","free agency","Pacers","signed free agent","On 2016-08-26, Julyan Stone is signed free agent by Pacers",FALSE,FALSE,"Pacers"
"Kendall MarshallTibor Pleiss","2016-08-26","Tibor Pleiss","Kendall Marshall","76ers","trade with Jazz","On 2016-08-26, 76ers make trade with Jazz for Tibor Pleiss, and in exhchange give Kendall Marshall to them.",FALSE,FALSE,"76ers, Jazz"
"Jonah BoldenKendall Marshall","2016-08-26","Jonah Bolden","Kendall Marshall","76ers","trade with Jazz","On 2016-08-26, 76ers make trade with Jazz for 2017 second round pick (most favorable of Jazz, Knicks, Pistons, Warriors picks) (#36-Jonah Bolden), and in exhchange give Kendall Marshall to them.",TRUE,FALSE,"76ers, Jazz"
"Alpha KabaKendall Marshall","2016-08-26","Alpha Kaba","Kendall Marshall","76ers","trade with Jazz","On 2016-08-26, 76ers make trade with Jazz for 2017 second round pick (least favorable of Jazz, Knicks, Pistons, Warriors picks) (#60-Alpha Kaba), and in exhchange give Kendall Marshall to them.",TRUE,FALSE,"76ers, Jazz"
"free agencyKendall Marshall","2016-08-26","free agency","Kendall Marshall","Jazz","waived","On 2016-08-26, Kendall Marshall becomes a free agent from Jazz",FALSE,FALSE,"Jazz"
"free agencyZach Auguste","2016-08-29","Zach Auguste","free agency","Lakers","signed free agent","On 2016-08-29, Zach Auguste is signed free agent by Lakers",FALSE,FALSE,"Lakers"
"Alex Poythressfree agency","2016-08-29","Alex Poythress","free agency","Pacers","signed free agent","On 2016-08-29, Alex Poythress is signed free agent by Pacers",FALSE,FALSE,"Pacers"
"Joffrey LauvergneVlatko Cancar","2016-08-30","Vlatko Cancar","Joffrey Lauvergne","Nuggets","trade with Thunder","On 2016-08-30, Nuggets make trade with Thunder for second round pick (protected top 35 in 2017, unprotected in 2018) (2017 #49-Vlatko Cancar), and in exhchange give Joffrey Lauvergne to them.",TRUE,FALSE,"Nuggets, Thunder"
"Joffrey LauvergneMonte Morris","2016-08-30","Monte Morris","Joffrey Lauvergne","Nuggets","trade with Thunder","On 2016-08-30, Nuggets make trade with Thunder for second round pick (protected top 35 2017, unprotected in 2018) (2017 #51-Monte Morris), and in exhchange give Joffrey Lauvergne to them.",TRUE,FALSE,"Nuggets, Thunder"
"Carl Landryfree agency","2016-08-31","free agency","Carl Landry","76ers","waived","On 2016-08-31, Carl Landry becomes a free agent from 76ers",FALSE,FALSE,"76ers"
"free agencyTibor Pleiss","2016-08-31","free agency","Tibor Pleiss","76ers","waived","On 2016-08-31, Tibor Pleiss becomes a free agent from 76ers",FALSE,FALSE,"76ers"
"Anthony Barber / Cat Barberfree agency","2016-08-31","Anthony Barber / Cat Barber","free agency","76ers","signed free agent","On 2016-08-31, Anthony Barber / Cat Barber is signed free agent by 76ers",FALSE,FALSE,"76ers"
"free agencyJulian Jacobs","2016-09-01","Julian Jacobs","free agency","Lakers","signed free agent (P)","On 2016-09-01, Julian Jacobs is signed free agent (P) by Lakers",FALSE,FALSE,"Lakers"
"free agencyTravis Wear","2016-09-01","Travis Wear","free agency","Lakers","signed unrestricted free agent","On 2016-09-01, Travis Wear is signed unrestricted free agent by Lakers",FALSE,FALSE,"Lakers"
"free agencyQuincy Ford","2016-09-06","Quincy Ford","free agency","Jazz","signed free agent","On 2016-09-06, Quincy Ford is signed free agent by Jazz",FALSE,FALSE,"Jazz"
"free agencyMarkel Brown","2016-09-07","Markel Brown","free agency","Cavaliers","signed unrestricted free agent (P)","On 2016-09-07, Markel Brown is signed unrestricted free agent (P) by Cavaliers",FALSE,FALSE,"Cavaliers"
"Andrew Andrewsfree agency","2016-09-07","Andrew Andrews","free agency","Hornets","signed free agent","On 2016-09-07, Andrew Andrews is signed free agent by Hornets",FALSE,FALSE,"Hornets"
"free agencyRasheed Sulaimon","2016-09-07","Rasheed Sulaimon","free agency","Hornets","signed free agent","On 2016-09-07, Rasheed Sulaimon is signed free agent by Hornets",FALSE,FALSE,"Hornets"
"free agencyRobbie Hummel","2016-09-07","Robbie Hummel","free agency","Nuggets","signed unrestricted free agent","On 2016-09-07, Robbie Hummel is signed unrestricted free agent by Nuggets",FALSE,FALSE,"Nuggets"
"E.J. Singlerfree agency","2016-09-07","E.J. Singler","free agency","Raptors","signed free agent","On 2016-09-07, E.J. Singler is signed free agent by Raptors",FALSE,FALSE,"Raptors"
"Arinze Onuakufree agency","2016-09-08","Arinze Onuaku","free agency","Magic","signed unrestricted free agent","On 2016-09-08, Arinze Onuaku is signed unrestricted free agent by Magic",FALSE,FALSE,"Magic"
"Damjan Rudezfree agency","2016-09-08","Damjan Rudez","free agency","Magic","signed unrestricted free agent","On 2016-09-08, Damjan Rudez is signed unrestricted free agent by Magic",FALSE,FALSE,"Magic"
"free agencyKevin Murphy","2016-09-08","Kevin Murphy","free agency","Magic","signed free agent","On 2016-09-08, Kevin Murphy is signed free agent by Magic",FALSE,FALSE,"Magic"
"free agencyNick Johnson","2016-09-08","Nick Johnson","free agency","Magic","signed free agent","On 2016-09-08, Nick Johnson is signed free agent by Magic",FALSE,FALSE,"Magic"
"free agencyKevin Seraphin","2016-09-08","Kevin Seraphin","free agency","Pacers","signed unrestricted free agent to a 1-year contract with a 1-year team option for 2017-18","On 2016-09-08, Kevin Seraphin is signed unrestricted free agent to a 1-year contract with a 1-year team option for 2017-18 by Pacers",FALSE,FALSE,"Pacers"
"free agencyNick Zeisloft","2016-09-08","Nick Zeisloft","free agency","Pacers","signed free agent","On 2016-09-08, Nick Zeisloft is signed free agent by Pacers",FALSE,FALSE,"Pacers"
"free agencyGreg Stiemsma","2016-09-12","Greg Stiemsma","free agency","Blazers","signed free agent","On 2016-09-12, Greg Stiemsma is signed free agent by Blazers",FALSE,FALSE,"Blazers"
"free agencyXavier Henry","2016-09-12","Xavier Henry","free agency","Bucks","signed free agent","On 2016-09-12, Xavier Henry is signed free agent by Bucks",FALSE,FALSE,"Bucks"
"Damion Leefree agency","2016-09-12","Damion Lee","free agency","Celtics","signed free agent","On 2016-09-12, Damion Lee is signed free agent by Celtics",FALSE,FALSE,"Celtics"
"free agencyJalen Jones","2016-09-12","Jalen Jones","free agency","Celtics","signed free agent","On 2016-09-12, Jalen Jones is signed free agent by Celtics",FALSE,FALSE,"Celtics"
"free agencyNate Wolters","2016-09-12","Nate Wolters","free agency","Nuggets","signed free agent","On 2016-09-12, Nate Wolters is signed free agent by Nuggets",FALSE,FALSE,"Nuggets"
"Cameron Jonesfree agency","2016-09-12","Cameron Jones","free agency","Warriors","signed free agent (P)","On 2016-09-12, Cameron Jones is signed free agent (P) by Warriors",FALSE,FALSE,"Warriors"
"Elgin Cookfree agency","2016-09-12","Elgin Cook","free agency","Warriors","signed free agent","On 2016-09-12, Elgin Cook is signed free agent by Warriors",FALSE,FALSE,"Warriors"
"Eric Morelandfree agency","2016-09-13","Eric Moreland","free agency","Cavaliers","signed unrestricted free agent to a training camp contract","On 2016-09-13, Eric Moreland is signed unrestricted free agent to a training camp contract by Cavaliers",FALSE,FALSE,"Cavaliers"
"free agencyLance Stephenson","2016-09-13","Lance Stephenson","free agency","Pelicans","signed free agent to a 1-year, $1.22M contract","On 2016-09-13, Lance Stephenson is signed free agent to a 1-year, $1.22M contract by Pelicans",FALSE,FALSE,"Pelicans"
"D'Vauntes Smith-Riverafree agency","2016-09-14","D'Vauntes Smith-Rivera","free agency","Bulls","signed free agent","On 2016-09-14, D'Vauntes Smith-Rivera is signed free agent by Bulls",FALSE,FALSE,"Bulls"
"free agencyNikola Jovanovic","2016-09-14","Nikola Jovanovic","free agency","Pistons","signed free agent","On 2016-09-14, Nikola Jovanovic is signed free agent by Pistons",FALSE,FALSE,"Pistons"
"free agencyTrey Freeman","2016-09-14","Trey Freeman","free agency","Pistons","signed free agent","On 2016-09-14, Trey Freeman is signed free agent by Pistons",FALSE,FALSE,"Pistons"
"Derrick Jones Jr.free agency","2016-09-14","Derrick Jones Jr.","free agency","Suns","signed free agent (P)","On 2016-09-14, Derrick Jones Jr. is signed free agent (P) by Suns",FALSE,FALSE,"Suns"
"free agencyShaquille Harrison","2016-09-14","Shaquille Harrison","free agency","Suns","signed free agent","On 2016-09-14, Shaquille Harrison is signed free agent by Suns",FALSE,FALSE,"Suns"
"free agencyVincent Hunter / Vince Hunter","2016-09-16","Vincent Hunter / Vince Hunter","free agency","Bulls","signed free agent","On 2016-09-16, Vincent Hunter / Vince Hunter is signed free agent by Bulls",FALSE,FALSE,"Bulls"
"Alec Brownfree agency","2016-09-17","free agency","Alec Brown","Suns","waived","On 2016-09-17, Alec Brown becomes a free agent from Suns",FALSE,FALSE,"Suns"
"free agencyTomislav Zubcic","2016-09-17","free agency","Tomislav Zubcic","Thunder","waived","On 2016-09-17, Tomislav Zubcic becomes a free agent from Thunder",FALSE,FALSE,"Thunder"
"free agencyJ.J. Avila","2016-09-19","J.J. Avila","free agency","Bulls","signed free agent","On 2016-09-19, J.J. Avila is signed free agent by Bulls",FALSE,FALSE,"Bulls"
"C.J. Williamsfree agency","2016-09-19","C.J. Williams","free agency","Mavericks","signed free agent","On 2016-09-19, C.J. Williams is signed free agent by Mavericks",FALSE,FALSE,"Mavericks"
