"date","from","to","action_team","notes","edge_label","pick_involved"
"2007-06-28","rights to Herbert Hill","rights to Kyrylo Fesenko","76ers","trade with Jazz","On 2007-06-28, 76ers make trade with Jazz for rights to Herbert Hill, and in exhchange give rights to Kyrylo Fesenko to them.",FALSE
"2007-06-28","future draft considerations (?)","rights to Kyrylo Fesenko","76ers","trade with Jazz","On 2007-06-28, 76ers make trade with Jazz for future draft considerations (?), and in exhchange give rights to Kyrylo Fesenko to them.",FALSE
"2007-06-28","rights to Jason Smith","rights to Daequan Cook","76ers","trade with Heat","On 2007-06-28, 76ers make trade with Heat for rights to Jason Smith, and in exhchange give rights to Daequan Cook to them.",FALSE
"2007-06-28","rights to Jason Smith","2009 pick (#45-Nick Calathes)","76ers","trade with Heat","On 2007-06-28, 76ers make trade with Heat for rights to Jason Smith, and in exhchange give 2009 pick (#45-Nick Calathes) to them.",TRUE
"2007-06-28","rights to Jason Smith","cash","76ers","trade with Heat","On 2007-06-28, 76ers make trade with Heat for rights to Jason Smith, and in exhchange give cash to them.",FALSE
"2007-06-28","rights to Rudy Fernandez","cash","Blazers","trade with Suns","On 2007-06-28, Blazers make trade with Suns for rights to Rudy Fernandez, and in exhchange give cash to them.",FALSE
"2007-06-28","Steve Francis","Zach Randolph","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for Steve Francis, and in exhchange give Zach Randolph to them.",FALSE
"2007-06-28","Steve Francis","Fred Jones","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for Steve Francis, and in exhchange give Fred Jones to them.",FALSE
"2007-06-28","Steve Francis","Dan Dickau","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for Steve Francis, and in exhchange give Dan Dickau to them.",FALSE
"2007-06-28","Steve Francis","rights to Demetris Nichols","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for Steve Francis, and in exhchange give rights to Demetris Nichols to them.",FALSE
"2007-06-28","Channing Frye","Zach Randolph","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for Channing Frye, and in exhchange give Zach Randolph to them.",FALSE
"2007-06-28","Channing Frye","Fred Jones","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for Channing Frye, and in exhchange give Fred Jones to them.",FALSE
"2007-06-28","Channing Frye","Dan Dickau","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for Channing Frye, and in exhchange give Dan Dickau to them.",FALSE
"2007-06-28","Channing Frye","rights to Demetris Nichols","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for Channing Frye, and in exhchange give rights to Demetris Nichols to them.",FALSE
"2007-06-28","2008 pick (#36-Omer Asik)","Zach Randolph","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for 2008 pick (#36-Omer Asik), and in exhchange give Zach Randolph to them.",TRUE
"2007-06-28","2008 pick (#36-Omer Asik)","Fred Jones","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for 2008 pick (#36-Omer Asik), and in exhchange give Fred Jones to them.",TRUE
"2007-06-28","2008 pick (#36-Omer Asik)","Dan Dickau","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for 2008 pick (#36-Omer Asik), and in exhchange give Dan Dickau to them.",TRUE
"2007-06-28","2008 pick (#36-Omer Asik)","rights to Demetris Nichols","Blazers","trade with Knicks","On 2007-06-28, Blazers make trade with Knicks for 2008 pick (#36-Omer Asik), and in exhchange give rights to Demetris Nichols to them.",TRUE
"2007-06-28","Jason Richardson","rights to Brandan Wright","Bobcats","trade with Warriors","On 2007-06-28, Bobcats make trade with Warriors for Jason Richardson, and in exhchange give rights to Brandan Wright to them.",FALSE
"2007-06-28","rights to Jermareo Davidson","rights to Brandan Wright","Bobcats","trade with Warriors","On 2007-06-28, Bobcats make trade with Warriors for rights to Jermareo Davidson, and in exhchange give rights to Brandan Wright to them.",FALSE
"2007-06-28","Ray Allen","Wally Szczerbiak","Celtics","trade with Sonics","On 2007-06-28, Celtics make trade with Sonics for Ray Allen, and in exhchange give Wally Szczerbiak to them.",FALSE
"2007-06-28","Ray Allen","Delonte West","Celtics","trade with Sonics","On 2007-06-28, Celtics make trade with Sonics for Ray Allen, and in exhchange give Delonte West to them.",FALSE
"2007-06-28","Ray Allen","rights to Jeff Green","Celtics","trade with Sonics","On 2007-06-28, Celtics make trade with Sonics for Ray Allen, and in exhchange give rights to Jeff Green to them.",FALSE
"2007-06-28","Ray Allen","2008 pick (#46-Trent Plaisted)","Celtics","trade with Sonics","On 2007-06-28, Celtics make trade with Sonics for Ray Allen, and in exhchange give 2008 pick (#46-Trent Plaisted) to them.",TRUE
"2007-06-28","rights to Glen Davis","Wally Szczerbiak","Celtics","trade with Sonics","On 2007-06-28, Celtics make trade with Sonics for rights to Glen Davis, and in exhchange give Wally Szczerbiak to them.",FALSE
"2007-06-28","rights to Glen Davis","Delonte West","Celtics","trade with Sonics","On 2007-06-28, Celtics make trade with Sonics for rights to Glen Davis, and in exhchange give Delonte West to them.",FALSE
"2007-06-28","rights to Glen Davis","rights to Jeff Green","Celtics","trade with Sonics","On 2007-06-28, Celtics make trade with Sonics for rights to Glen Davis, and in exhchange give rights to Jeff Green to them.",FALSE
"2007-06-28","rights to Glen Davis","2008 pick (#46-Trent Plaisted)","Celtics","trade with Sonics","On 2007-06-28, Celtics make trade with Sonics for rights to Glen Davis, and in exhchange give 2008 pick (#46-Trent Plaisted) to them.",TRUE
"2007-06-28","cash","2007 pick (#54-Brad Newley)","Magic","trade with Rockets","On 2007-06-28, Magic make trade with Rockets for cash, and in exhchange give 2007 pick (#54-Brad Newley) to them.",TRUE
"2007-06-28","rights to Derrick Byars","rights to Petteri Koponen","76ers","trade with Blazers","On 2007-06-28, 76ers make trade with Blazers for rights to Derrick Byars, and in exhchange give rights to Petteri Koponen to them.",FALSE
"2007-06-28","cash","rights to Petteri Koponen","76ers","trade with Blazers","On 2007-06-28, 76ers make trade with Blazers for cash, and in exhchange give rights to Petteri Koponen to them.",FALSE
"2007-06-28","rights to Milovan Rakovic","rights to Reyshawn Terry","Magic","trade with Mavericks","On 2007-06-28, Magic make trade with Mavericks for rights to Milovan Rakovic, and in exhchange give rights to Reyshawn Terry to them.",FALSE
"2007-06-28","cash","rights to Reyshawn Terry","Magic","trade with Mavericks","On 2007-06-28, Magic make trade with Mavericks for cash, and in exhchange give rights to Reyshawn Terry to them.",FALSE
"2007-06-28","rights to Carl Landry","2008 pick (#56-Sasha Kaun)","Rockets","trade with Sonics","On 2007-06-28, Rockets make trade with Sonics for rights to Carl Landry, and in exhchange give 2008 pick (#56-Sasha Kaun) to them.",TRUE
"2007-06-28","rights to Carl Landry","cash","Rockets","trade with Sonics","On 2007-06-28, Rockets make trade with Sonics for rights to Carl Landry, and in exhchange give cash to them.",FALSE
"2007-06-28","2009 pick (#43-Marcus Thornton)","rights to Stanko Barac","Heat","trade with Pacers","On 2007-06-28, Heat make trade with Pacers for 2009 pick (#43-Marcus Thornton), and in exhchange give rights to Stanko Barac to them.",TRUE
"2007-06-28","rights to Giorgos Printezis","2008 pick (#45-Goran Dragic)","Raptors","trade with Spurs","On 2007-06-28, Raptors make trade with Spurs for rights to Giorgos Printezis, and in exhchange give 2008 pick (#45-Goran Dragic) to them.",TRUE
"2007-07-11","James Jones (b)","cash","Blazers","trade with Suns","On 2007-07-11, Blazers make trade with Suns for James Jones (b), and in exhchange give cash to them.",FALSE
"2007-07-11","Rashard Lewis","2009 pick (#57-Emir Preldzic)","Magic","trade with Sonics","On 2007-07-11, Magic make trade with Sonics for Rashard Lewis, and in exhchange give 2009 pick (#57-Emir Preldzic) to them.",TRUE
"2007-07-11","Rashard Lewis","trade exception","Magic","trade with Sonics","On 2007-07-11, Magic make trade with Sonics for Rashard Lewis, and in exhchange give trade exception to them.",FALSE
"2007-07-12","Jackie Butler","rights to Vassilis Spanoulis","Rockets","trade with Spurs","On 2007-07-12, Rockets make trade with Spurs for Jackie Butler, and in exhchange give rights to Vassilis Spanoulis to them.",FALSE
"2007-07-12","Jackie Butler","2009 pick (#53-Nando De Colo)","Rockets","trade with Spurs","On 2007-07-12, Rockets make trade with Spurs for Jackie Butler, and in exhchange give 2009 pick (#53-Nando De Colo) to them.",TRUE
"2007-07-12","Jackie Butler","cash","Rockets","trade with Spurs","On 2007-07-12, Rockets make trade with Spurs for Jackie Butler, and in exhchange give cash to them.",FALSE
"2007-07-12","Jackie Butler","future considerations (?)","Rockets","trade with Spurs","On 2007-07-12, Rockets make trade with Spurs for Jackie Butler, and in exhchange give future considerations (?) to them.",FALSE
"2007-07-12","rights to Luis Scola","rights to Vassilis Spanoulis","Rockets","trade with Spurs","On 2007-07-12, Rockets make trade with Spurs for rights to Luis Scola, and in exhchange give rights to Vassilis Spanoulis to them.",FALSE
"2007-07-12","rights to Luis Scola","2009 pick (#53-Nando De Colo)","Rockets","trade with Spurs","On 2007-07-12, Rockets make trade with Spurs for rights to Luis Scola, and in exhchange give 2009 pick (#53-Nando De Colo) to them.",TRUE
"2007-07-12","rights to Luis Scola","cash","Rockets","trade with Spurs","On 2007-07-12, Rockets make trade with Spurs for rights to Luis Scola, and in exhchange give cash to them.",FALSE
"2007-07-12","rights to Luis Scola","future considerations (?)","Rockets","trade with Spurs","On 2007-07-12, Rockets make trade with Spurs for rights to Luis Scola, and in exhchange give future considerations (?) to them.",FALSE
"2007-07-20","Kurt Thomas","2009 pick (#57-Emir Preldzic)","Sonics","trade with Suns","On 2007-07-20, Sonics make trade with Suns for Kurt Thomas, and in exhchange give 2009 pick (#57-Emir Preldzic) to them.",TRUE
"2007-07-20","Kurt Thomas","trade exception","Sonics","trade with Suns","On 2007-07-20, Sonics make trade with Suns for Kurt Thomas, and in exhchange give trade exception to them.",FALSE
"2007-07-20","2008 pick (#24-Serge Ibaka)","2009 pick (#57-Emir Preldzic)","Sonics","trade with Suns","On 2007-07-20, Sonics make trade with Suns for 2008 pick (#24-Serge Ibaka), and in exhchange give 2009 pick (#57-Emir Preldzic) to them.",TRUE
"2007-07-20","2008 pick (#24-Serge Ibaka)","trade exception","Sonics","trade with Suns","On 2007-07-20, Sonics make trade with Suns for 2008 pick (#24-Serge Ibaka), and in exhchange give trade exception to them.",TRUE
"2007-07-20","2010 pick (#26-Quincy Pondexter)","2009 pick (#57-Emir Preldzic)","Sonics","trade with Suns","On 2007-07-20, Sonics make trade with Suns for 2010 pick (#26-Quincy Pondexter), and in exhchange give 2009 pick (#57-Emir Preldzic) to them.",TRUE
"2007-07-20","2010 pick (#26-Quincy Pondexter)","trade exception","Sonics","trade with Suns","On 2007-07-20, Sonics make trade with Suns for 2010 pick (#26-Quincy Pondexter), and in exhchange give trade exception to them.",TRUE
"2007-07-31","Kevin Garnett","Al Jefferson","Celtics","trade with Timberwolves","On 2007-07-31, Celtics make trade with Timberwolves for Kevin Garnett, and in exhchange give Al Jefferson to them.",FALSE
"2007-07-31","Kevin Garnett","Gerald Green (b)","Celtics","trade with Timberwolves","On 2007-07-31, Celtics make trade with Timberwolves for Kevin Garnett, and in exhchange give Gerald Green (b) to them.",FALSE
"2007-07-31","Kevin Garnett","Theo Ratliff","Celtics","trade with Timberwolves","On 2007-07-31, Celtics make trade with Timberwolves for Kevin Garnett, and in exhchange give Theo Ratliff to them.",FALSE
"2007-07-31","Kevin Garnett","Ryan Gomes","Celtics","trade with Timberwolves","On 2007-07-31, Celtics make trade with Timberwolves for Kevin Garnett, and in exhchange give Ryan Gomes to them.",FALSE
"2007-07-31","Kevin Garnett","Sebastian Telfair","Celtics","trade with Timberwolves","On 2007-07-31, Celtics make trade with Timberwolves for Kevin Garnett, and in exhchange give Sebastian Telfair to them.",FALSE
"2007-07-31","Kevin Garnett","2009 pick (#6-Jonny Flynn)","Celtics","trade with Timberwolves","On 2007-07-31, Celtics make trade with Timberwolves for Kevin Garnett, and in exhchange give 2009 pick (#6-Jonny Flynn) to them.",TRUE
"2007-07-31","Kevin Garnett","cash","Celtics","trade with Timberwolves","On 2007-07-31, Celtics make trade with Timberwolves for Kevin Garnett, and in exhchange give cash to them.",FALSE
"2007-09-10","Reggie Evans","Steven Hunter","76ers","trade with Nuggets","On 2007-09-10, 76ers make trade with Nuggets for Reggie Evans, and in exhchange give Steven Hunter to them.",FALSE
"2007-09-10","Reggie Evans","Bobby Jones (R.)","76ers","trade with Nuggets","On 2007-09-10, 76ers make trade with Nuggets for Reggie Evans, and in exhchange give Bobby Jones (R.) to them.",FALSE
"2007-09-10","rights to Ricky Sanchez","Steven Hunter","76ers","trade with Nuggets","On 2007-09-10, 76ers make trade with Nuggets for rights to Ricky Sanchez, and in exhchange give Steven Hunter to them.",FALSE
"2007-09-10","rights to Ricky Sanchez","Bobby Jones (R.)","76ers","trade with Nuggets","On 2007-09-10, 76ers make trade with Nuggets for rights to Ricky Sanchez, and in exhchange give Bobby Jones (R.) to them.",FALSE
"2007-09-28","Trenton Hassell","Greg Buckner","Mavericks","trade with Timberwolves","On 2007-09-28, Mavericks make trade with Timberwolves for Trenton Hassell, and in exhchange give Greg Buckner to them.",FALSE
"2007-09-29","Cedric Simmons","David Wesley","Cavaliers","trade with Hornets","On 2007-09-29, Cavaliers make trade with Hornets for Cedric Simmons, and in exhchange give David Wesley to them.",FALSE
"2007-09-29","Cedric Simmons","cash","Cavaliers","trade with Hornets","On 2007-09-29, Cavaliers make trade with Hornets for Cedric Simmons, and in exhchange give cash to them.",FALSE
"2007-09-30","cash","rights to Jared Jordan","Clippers","trade with Knicks","On 2007-09-30, Clippers make trade with Knicks for cash, and in exhchange give rights to Jared Jordan to them.",FALSE
"2007-10-24","Ricky Davis","Antoine Walker","Heat","trade with Timberwolves","On 2007-10-24, Heat make trade with Timberwolves for Ricky Davis, and in exhchange give Antoine Walker to them.",FALSE
"2007-10-24","Ricky Davis","Wayne Simien","Heat","trade with Timberwolves","On 2007-10-24, Heat make trade with Timberwolves for Ricky Davis, and in exhchange give Wayne Simien to them.",FALSE
"2007-10-24","Ricky Davis","Michael Doleac","Heat","trade with Timberwolves","On 2007-10-24, Heat make trade with Timberwolves for Ricky Davis, and in exhchange give Michael Doleac to them.",FALSE
"2007-10-24","Ricky Davis","cash","Heat","trade with Timberwolves","On 2007-10-24, Heat make trade with Timberwolves for Ricky Davis, and in exhchange give cash to them.",FALSE
"2007-10-24","Mark Blount","Antoine Walker","Heat","trade with Timberwolves","On 2007-10-24, Heat make trade with Timberwolves for Mark Blount, and in exhchange give Antoine Walker to them.",FALSE
"2007-10-24","Mark Blount","Wayne Simien","Heat","trade with Timberwolves","On 2007-10-24, Heat make trade with Timberwolves for Mark Blount, and in exhchange give Wayne Simien to them.",FALSE
"2007-10-24","Mark Blount","Michael Doleac","Heat","trade with Timberwolves","On 2007-10-24, Heat make trade with Timberwolves for Mark Blount, and in exhchange give Michael Doleac to them.",FALSE
"2007-10-24","Mark Blount","cash","Heat","trade with Timberwolves","On 2007-10-24, Heat make trade with Timberwolves for Mark Blount, and in exhchange give cash to them.",FALSE
"2007-10-29","Bernard Robinson","David Wesley","Hornets","trade with Nets","On 2007-10-29, Hornets make trade with Nets for Bernard Robinson, and in exhchange give David Wesley to them.",FALSE
"2007-10-29","Mile Ilic","David Wesley","Hornets","trade with Nets","On 2007-10-29, Hornets make trade with Nets for Mile Ilic, and in exhchange give David Wesley to them.",FALSE
"2007-10-29","cash","David Wesley","Hornets","trade with Nets","On 2007-10-29, Hornets make trade with Nets for cash, and in exhchange give David Wesley to them.",FALSE
"2007-11-20","Trevor Ariza","Brian Cook","Lakers","trade with Magic","On 2007-11-20, Lakers make trade with Magic for Trevor Ariza, and in exhchange give Brian Cook to them.",FALSE
"2007-11-20","Trevor Ariza","Maurice Evans","Lakers","trade with Magic","On 2007-11-20, Lakers make trade with Magic for Trevor Ariza, and in exhchange give Maurice Evans to them.",FALSE
"2007-12-14","Nazr Mohammed","Primoz Brezec","Bobcats","trade with Pistons","On 2007-12-14, Bobcats make trade with Pistons for Nazr Mohammed, and in exhchange give Primoz Brezec to them.",FALSE
"2007-12-14","Nazr Mohammed","Walter Herrmann","Bobcats","trade with Pistons","On 2007-12-14, Bobcats make trade with Pistons for Nazr Mohammed, and in exhchange give Walter Herrmann to them.",FALSE
"2007-12-29","Gordan Giricek","Kyle Korver","76ers","trade with Jazz","On 2007-12-29, 76ers make trade with Jazz for Gordan Giricek, and in exhchange give Kyle Korver to them.",FALSE
"2008-02-01","Kwame Brown","Pau Gasol","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for Kwame Brown, and in exhchange give Pau Gasol to them.",FALSE
"2008-02-01","Kwame Brown","2010 pick (#43-Devin Ebanks)","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for Kwame Brown, and in exhchange give 2010 pick (#43-Devin Ebanks) to them.",TRUE
"2008-02-01","Javaris Crittenton","Pau Gasol","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for Javaris Crittenton, and in exhchange give Pau Gasol to them.",FALSE
"2008-02-01","Javaris Crittenton","2010 pick (#43-Devin Ebanks)","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for Javaris Crittenton, and in exhchange give 2010 pick (#43-Devin Ebanks) to them.",TRUE
"2008-02-01","Aaron McKie","Pau Gasol","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for Aaron McKie, and in exhchange give Pau Gasol to them.",FALSE
"2008-02-01","Aaron McKie","2010 pick (#43-Devin Ebanks)","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for Aaron McKie, and in exhchange give 2010 pick (#43-Devin Ebanks) to them.",TRUE
"2008-02-01","rights to Marc Gasol","Pau Gasol","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for rights to Marc Gasol, and in exhchange give Pau Gasol to them.",FALSE
"2008-02-01","rights to Marc Gasol","2010 pick (#43-Devin Ebanks)","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for rights to Marc Gasol, and in exhchange give 2010 pick (#43-Devin Ebanks) to them.",TRUE
"2008-02-01","2010 pick (#28-Greivis Vasquez)","Pau Gasol","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for 2010 pick (#28-Greivis Vasquez), and in exhchange give Pau Gasol to them.",TRUE
"2008-02-01","2010 pick (#28-Greivis Vasquez)","2010 pick (#43-Devin Ebanks)","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for 2010 pick (#28-Greivis Vasquez), and in exhchange give 2010 pick (#43-Devin Ebanks) to them.",TRUE
"2008-02-01","cash","Pau Gasol","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for cash, and in exhchange give Pau Gasol to them.",FALSE
"2008-02-01","cash","2010 pick (#43-Devin Ebanks)","Grizzlies","trade with Lakers","On 2008-02-01, Grizzlies make trade with Lakers for cash, and in exhchange give 2010 pick (#43-Devin Ebanks) to them.",TRUE
"2008-02-04","Jason Collins","Stromile Swift","Grizzlies","trade with Nets","On 2008-02-04, Grizzlies make trade with Nets for Jason Collins, and in exhchange give Stromile Swift to them.",FALSE
"2008-02-04","cash","Stromile Swift","Grizzlies","trade with Nets","On 2008-02-04, Grizzlies make trade with Nets for cash, and in exhchange give Stromile Swift to them.",FALSE
"2008-02-06","Shawn Marion","Shaquille O'Neal","Heat","trade with Suns","On 2008-02-06, Heat make trade with Suns for Shawn Marion, and in exhchange give Shaquille O'Neal to them.",FALSE
"2008-02-06","Marcus Banks","Shaquille O'Neal","Heat","trade with Suns","On 2008-02-06, Heat make trade with Suns for Marcus Banks, and in exhchange give Shaquille O'Neal to them.",FALSE
"2008-02-16","Mike Bibby","Anthony Johnson","Hawks","trade with Kings","On 2008-02-16, Hawks make trade with Kings for Mike Bibby, and in exhchange give Anthony Johnson to them.",FALSE
"2008-02-16","Mike Bibby","Tyronn Lue","Hawks","trade with Kings","On 2008-02-16, Hawks make trade with Kings for Mike Bibby, and in exhchange give Tyronn Lue to them.",FALSE
"2008-02-16","Mike Bibby","Shelden Williams","Hawks","trade with Kings","On 2008-02-16, Hawks make trade with Kings for Mike Bibby, and in exhchange give Shelden Williams to them.",FALSE
"2008-02-16","Mike Bibby","Lorenzen Wright","Hawks","trade with Kings","On 2008-02-16, Hawks make trade with Kings for Mike Bibby, and in exhchange give Lorenzen Wright to them.",FALSE
"2008-02-16","Mike Bibby","2008 pick (#42-Sean Singletary)","Hawks","trade with Kings","On 2008-02-16, Hawks make trade with Kings for Mike Bibby, and in exhchange give 2008 pick (#42-Sean Singletary) to them.",TRUE
"2008-02-19","Jason Kidd","Devin Harris","Mavericks","trade with Nets","On 2008-02-19, Mavericks make trade with Nets for Jason Kidd, and in exhchange give Devin Harris to them.",FALSE
"2008-02-19","Jason Kidd","DeSagana Diop","Mavericks","trade with Nets","On 2008-02-19, Mavericks make trade with Nets for Jason Kidd, and in exhchange give DeSagana Diop to them.",FALSE
"2008-02-19","Jason Kidd","Trenton Hassell","Mavericks","trade with Nets","On 2008-02-19, Mavericks make trade with Nets for Jason Kidd, and in exhchange give Trenton Hassell to them.",FALSE
"2008-02-19","Jason Kidd","Maurice Ager","Mavericks","trade with Nets","On 2008-02-19, Mavericks make trade with Nets for Jason Kidd, and in exhchange give Maurice Ager to them.",FALSE
