"","Date","Team","Acquired","Relinquished","Notes"
"48","2016-02-18","Cavaliers","• 2020 second round pick (?-?)","• Anderson Varejao• first round pick (at least 2 years after Cavaliers have conveyed first round pick to Celtics) (protected top 10 in 2018-19) (2018 #25-Moritz Wagner / Moe Wagner)","trade with Blazers"
"49","2016-02-18","Cavaliers","• Channing Frye","• Jared Cunningham• 2020 second round pick (?-?)","trade with Magic"
"50","2016-02-18","Magic","• Jared Cunningham• 2020 second round pick (?-?)","• Channing Frye","trade with Cavaliers"
"51","2016-02-18","Bulls","• Justin Holiday• 2018 second round pick (from Jazz) (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)","• Kirk Hinrich","3-team trade with Jazz, Hawks"
"52","2016-02-18","Hawks","• Kirk Hinrich","• Justin Holiday• Shelvin Mack","3-team trade with Bulls, Jazz"
"53","2016-02-18","Jazz","• Shelvin Mack","• 2018 second round pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)","3-team trade with Bulls, Hawks"
"54","2016-02-18","Heat","• 2018 second round pick (protected top 55, subsequent trade of this pick back to Pelicans effectively removed protection) (#51-Tony Carr)","• Jarnell Stokes• cash considerations","trade with Pelicans"
"55","2016-02-18","Pelicans","• Jarnell Stokes• cash considerations","• 2018 second round pick (protected top 55, subsequent trade of this pick back to Pelicans effectively removed protection) (#51-Tony Carr)","trade with Heat"
"56","2016-02-18","Nuggets","• D.J. Augustine• Steve Novak• 2016 second round pick (protected #56-60 in 2016, unprotected in 2017) (2016 #53-Petr Cornelie)• 2016 second round pick (#56-Daniel Hamilton)• cash","• Randy Foye","trade with Thunder"
"57","2016-02-18","Thunder","• Randy Foye","• D.J. Augustine• Steve Novak• 2016 second round pick (protected #56-60 in 2016, unprotected in 2017) (2016 #53-Petr Cornelie)• 2016 second round pick (#56-Daniel Hamilton)• cash","trade with Nuggets"
"58","2016-02-18","Clippers","• Jeff Green","• Lance Stephenson• first round pick (at least 2 years after Clippers convey first round pick to Raptors from earlier trade) (protected top 14 in 2019-20, else 2022 second round pick) (?-?)","trade with Grizzlies"
"59","2016-02-18","Grizzlies","• Lance Stephenson• first round pick (at least 2 years after Clippers convey first round pick to Raptors from earlier trade) (protected top 14 in 2019-20, else 2022 second round pick) (?-?)","• Jeff Green","trade with Clippers"
"60","2016-02-18","Blazers","• Brian Roberts• 2021 second round pick (?-?)","• cash considerations","trade with Heat"
"61","2016-02-18","Heat","• cash considerations","• Brian Roberts• 2021 second round pick (?-?)","trade with Blazers"
"62","2016-02-18","Blazers","","• Anderson Varejao","waived"
"63","2016-02-18","Magic","","• Jared Cunningham","waived"
"64","2016-02-19","Celtics","","• David Lee","waived"
"65","2016-02-19","Grizzlies","","• Ryan Hollins","player became a free agent"
"66","2016-02-19","Nuggets","","• J.J. Hickson","waived"
"67","2016-02-19","Nuggets","","• Steve Novak","waived"
"68","2016-02-19","Pelicans","","• Jarnell Stokes","waived"
"69","2016-02-19","Pelicans","• Bryce Dejean-Jones","","signed free agent for the remainder of the season"
"70","2016-02-19","Suns","","• Orlando Johnson","player became a free agent (P)"
"71","2016-02-20","Clippers","• Alex Stepheson","","signed free agent to a 10-day contract"
"72","2016-02-20","Hornets","• Jorge Gutierrez","","signed free agent to a 10-day contract"
"73","2016-02-20","Suns","","• Jordan McRae","player became a free agent"
"74","2016-02-20","Suns","• Phil Pressey","","signed free agent to a 10-day contract"
"75","2016-02-20","Nets","","• Andrea Bargnani","waived"
"76","2016-02-21","Bucks","","• Chris Copeland","waived"
"77","2016-02-21","Bucks","• Steve Novak","","signed free agent for the remainder of the season"
"78","2016-02-22","76ers","• rights to Chukwudiebere Maduabum / Chu Chu Maduabum","• Joel Anthony• 2017 second round pick (not exercised)","earlier trade with Rockets rescinded"
"79","2016-02-22","Knicks","• Jimmer Fredette","","signed free agent to a 10-day contract"
"80","2016-02-22","Magic","","• Jared Cunningham","waived"
"81","2016-02-22","Mavericks","","• John Jenkins","waived"
"82","2016-02-22","Mavericks","• David Lee","","signed free agent for the remainder of the season"
"83","2016-02-22","Nuggets","• JaKarr Sampson","","signed free agent to a 2-year contract / for the remainder of the season (NBA)"
"84","2016-02-22","Rockets","• Joel Anthony• 2017 second round pick (not exercised)","• rights to Chukwudiebere Maduabum / Chu Chu Maduabum","earlier trade with 76ers rescinded"
"85","2016-02-22","Suns","","• DeJuan Blair","waived"
"86","2016-02-22","Warriors","","• Jason Thompson","waived"
"87","2016-02-22","Warriors","• Anderson Varejao","","signed free agent for the remainder of the season"
"88","2016-02-24","Pistons","• Justin Harper","","signed free agent to a 10-day contract"
"89","2016-02-25","Magic","","• Chris Copeland","waived"
"90","2016-02-25","Nets","","• Joe Johnson","waived"
"91","2016-02-25","Timberwolves","","• Andre Miller","waived"
"92","2016-02-25","Wizards","• J.J. Hickson","","signed free agent for the remainder of the season"
"93","2016-02-26","Rockets","","• Marcus Thornton (T.)","waived"
"94","2016-02-27","Heat","• Joe Johnson","","signed free agent for the remainder of the season"
"95","2016-02-28","Cavaliers","• Jordan McRae","","signed free agent to a 10-day contract"
"96","2016-02-28","Nets","• Sean Kilpatrick","","signed free agent to a 10-day contract"
"97","2016-02-28","Suns","","• Kris Humphries","waived"
"98","2016-02-29","Spurs","","• Ray McCallum Jr.","waived"
"99","2016-02-29","Spurs","• Andre Miller","","signed free agent for the remainder of the season"
"100","2016-02-29","Heat","","• Beno Udrih","waived"
"101","2016-03-01","Hawks","• Kris Humphries","","signed free agent for the remainder of the season"
"102","2016-03-01","Raptors","","• Anthony Bennett","waived"
"103","2016-03-01","Raptors","• Jason Thompson","","signed free agent for the remainder of the season"
"104","2016-03-01","Rockets","","• Ty Lawson","waived"
"105","2016-03-01","Timberwolves","","• Kevin Martin","waived"
"106","2016-03-02","Grizzlies","","• James Ennis","waived"
"107","2016-03-02","Grizzlies","• Ryan Hollins","","signed free agent for the remainder of the season"
"108","2016-03-02","Timberwolves","• Greg Smith (a)","","signed free agent to a 10-day contract"
"109","2016-03-03","Knicks","","• Jimmer Fredette","player became a free agent"
"110","2016-03-03","Nuggets","• Axel Toupane","","signed free agent to a 10-day contract"
"111","2016-03-04","76ers","• Christian Wood","","signed free agent to a 10-day contract"
"112","2016-03-04","Rockets","• Michael Beasley","","signed unrestricted free agent for the remainder of the season"
"113","2016-03-05","Pacers","","• Chase Budinger","waived"
"114","2016-03-05","Suns","","• Sonny Weems","waived"
"115","2016-03-05","Thunder","• Nazr Mohammed","","signed unrestricted free agent for the remainder of the season"
"116","2016-03-07","76ers","","• Christian Wood","waived"
"117","2016-03-07","Celtics","• Coty Clarke","","signed free agent to a 10-day contract"
"118","2016-03-07","Pacers","• Ty Lawson","","signed free agent for the remainder of the season"
"119","2016-03-08","Spurs","• Kevin Martin","","signed free agent for the remainder of the season"
"120","2016-03-08","Suns","• Alan Williams","","signed free agent to a 10-day contract"
"121","2016-03-08","Suns","• Chase Budinger","","signed free agent for the remainder of the season"
"122","2016-03-08","Wizards","• Marcus Thornton (T.)","","signed free agent for the remainder of the season"
"123","2016-03-08","Wizards","","• Gary Neal","waived"
"124","2016-03-09","Pelicans","• Orlando Johnson","","signed free agent to a 10-day contract"
"125","2016-03-09","Rockets","• Andrew Goudelock","","signed free agent for the remainder of the season"
"126","2016-03-09","Spurs","","• Rasual Butler","waived"
"127","2016-03-10","Grizzlies","","• Mario Chalmers","waived"
"128","2016-03-11","Grizzlies","• Briante Weber","","signed free agent to a 10-day contract"
"129","2016-03-12","Grizzlies","• Ray McCallum Jr.","","signed free agent to a 10-day contract"
"130","2016-03-12","Suns","","• Phil Pressey","player became a free agent"
"131","2016-03-12","Clippers","","• Alex Stepheson","player became a free agent"
"132","2016-03-12","Clippers","","• Alex Stepheson","waived (CBS S)"
"133","2016-03-12","Grizzlies","• Alex Stepheson","","signed free agent to a 10-day contract"
"134","2016-03-16","Bucks","• Jared Cunningham","","signed free agent to a 10-day contract"
"135","2016-03-16","Clippers","• Jeff Ayres / Jeff Pendergraph","","signed free agent for the remainder of the season"
"136","2016-03-16","Grizzlies","• Xavier Munford","","signed free agent to a 10-day contract"
"137","2016-03-16","Knicks","• Tony Wroten Jr.","","signed free agent for the remainder of the season"
"138","2016-03-16","Pelicans","","• Orlando Johnson","player became a free agent"
"139","2016-03-16","Pelicans","• Tim Frazier","","signed free agent to a 10-day contract"
"140","2016-03-16","Pistons","","• Justin Harper","player became a free agent"
"141","2016-03-17","Nets","• Henry Sims","","signed free agent to a 10-day contract"
"142","2016-03-18","Pelicans","• Orlando Johnson","","signed free agent to a second 10-day contract"
"143","2016-03-18","Pistons","• Lorenzo Brown","","signed free agent to a 10-day contract"
"144","2016-03-19","Pelicans","","• Orlando Johnson","player became a free agent (S)"
"145","2016-03-21","Grizzlies","","• Briante Weber","player became a free agent"
"146","2016-03-21","Grizzlies","• Jordan Farmar","","signed free agent to a 10-day contract"
"147","2016-03-22","Grizzlies","","• Alex Stepheson","player became a free agent"
"148","2016-03-25","Pelicans","• Jordan Hamilton","","signed free agent to a 10-day contract"
"149","2016-03-26","Bucks","","• Jared Cunningham","player became a free agent"
"150","2016-03-27","76ers","","• Sonny Weems","waived"
"151","2016-03-28","Celtics","","• Coty Clarke","player became a free agent"
"152","2016-03-30","Pelicans","• James Ennis","","signed free agent to a 10-day contract"
"153","2016-04-01","Grizzlies","","• Ray McCallum Jr.","player became a free agent"
"154","2016-04-01","Grizzlies","• Bryce Cotton","","signed free agent to a 10-day contract"
"155","2016-04-07","Grizzlies","","• Ryan Hollins","waived"
"156","2016-04-08","Pistons","","• Lorenzo Brown","player became a free agent"
"157","2016-04-10","Heat","• Briante Weber","","signed free agent for the remainder of the season"
"158","2016-04-11","Celtics","• John Holland","","signed free agent for the remainder of the season"
"159","2016-04-12","Heat","• Dorell Wright","","signed unrestricted free agent for the remainder of the season"
"160","2016-04-13","Cavaliers","• Dahntay Jones","","signed free agent for the remainder of the season"
"161","2016-04-13","Pistons","• Lorenzo Brown","","signed free agent for the remainder of the season"
"162","2016-06-17","Bulls","• Spencer Dinwiddie","• Cameron Bairstow","trade with Pistons"
"163","2016-06-17","Pistons","• Cameron Bairstow","• Spencer Dinwiddie","trade with Bulls"
"164","2016-06-22","Bulls","• Robin Lopez• Jerian Grant• Jose Calderon","• Derrick Rose• Justin Holiday• 2017 second round pick (#44-Damyean Dotson)","trade with Knicks"
"165","2016-06-22","Knicks","","• Tony Wroten Jr.","waived"
"166","2016-06-22","Knicks","• Derrick Rose• Justin Holiday• 2017 second round pick (#44-Damyean Dotson)","• Robin Lopez• Jerian Grant• Jose Calderon","trade with Bulls"
"167","2016-06-23","Blazers","• rights to Jake Layman","• 2019 second round pick (?-?)• cash considerations","trade with Magic"
"168","2016-06-23","Bucks","• cash considerations","• rights to Patrick McCaw","trade with Warriors"
"169","2016-06-23","Celtics","• first round pick (at least 2 years after Clippers convey first round pick to Raptors from earlier trade) (protected top 14 in 2019-20, else 2022 second round pick) (?-?)","• rights to Deyonta Davis• rights to Rade Zagorac","trade with Grizzlies"
"170","2016-06-23","Clippers","• rights to David Michineau• rights to Diamond Stone","• rights to Cheick Diallo","trade with Pelicans"
"171","2016-06-23","Grizzlies","• rights to Deyonta Davis• rights to Rade Zagorac","• first round pick (at least 2 years after Clippers convey first round pick to Raptors from earlier trade) (protected top 14 in 2019-20, else 2022 second round pick) (?-?)","trade with Celtics"
"172","2016-06-23","Jazz","• rights to Marcus Paige• cash considerations","• rights to Isaiah Whitehead","trade with Nets"
"173","2016-06-23","Kings","• rights to Bogdan Bogdanovic• rights to Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis• rights to Skal Labissiere• 2020 second round pick (?-?)","• rights to Marquese Chriss","trade with Suns"
"174","2016-06-23","Magic","• 2019 second round pick (?-?)• cash considerations","• rights to Jake Layman","trade with Blazers"
"175","2016-06-23","Magic","• Serge Ibaka","• Victor Oladipo• Ersan Ilyasova• rights to Domantas Sabonis / Domas Sabonis","trade with Thunder"
"176","2016-06-23","Nets","• rights to Isaiah Whitehead","• rights to Marcus Paige• cash considerations","trade with Jazz"
"177","2016-06-23","Nuggets","• cash considerations","• rights to Daniel Hamilton","trade with Thunder"
"178","2016-06-23","Pelicans","• rights to Cheick Diallo","• rights to David Michineau• rights to Diamond Stone","trade with Clippers"
"179","2016-06-23","Suns","• rights to Marquese Chriss","• rights to Bogdan Bogdanovic• rights to Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis• rights to Skal Labissiere• 2020 second round pick (?-?)","trade with Kings"
"180","2016-06-23","Thunder","• rights to Daniel Hamilton","• cash considerations","trade with Nuggets"
"181","2016-06-23","Thunder","• Victor Oladipo• Ersan Ilyasova• rights to Domantas Sabonis / Domas Sabonis","• Serge Ibaka","trade with Magic"
"182","2016-06-23","Warriors","• rights to Patrick McCaw","• cash considerations","trade with Bucks"
"183","2016-06-24","Cavaliers","• rights to Kahlil Felder / Kay Felder","• cash considerations","trade with Hawks"
"184","2016-06-24","Hawks","• cash considerations","• rights to Kahlil Felder / Kay Felder","trade with Cavaliers"
"185","2016-06-29","Bucks","","• Damien Inglis","waived"
"186","2016-06-29","Bucks","","• Johnny O'Bryant III","waived"
"187","2016-06-29","Magic","• Jodie Meeks","• 2019 conditional second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets picks) (?-?)","trade with Pistons"
"188","2016-06-29","Pistons","• 2019 conditional second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets picks) (?-?)","• Jodie Meeks","trade with Magic"
"189","2016-06-30","Nets","","• Jarrett Jack","waived"
"190","2016-06-30","Timberwolves","","• Greg Smith (a)","waived"
"191","2016-07-04","Kings","","• Caron Butler","waived"
"192","2016-07-04","Kings","","• Duje Dukan","waived"
"193","2016-07-07","Blazers","","• Cliff Alexander","waived"
"194","2016-07-07","Blazers","• Evan Turner","","signed unrestricted free agent to a 4-year, $70-75M contract"
"195","2016-07-07","Blazers","• Festus Ezeli","","signed unrestricted free agent to a 2-year, $15M contract (second year is team option)"
"196","2016-07-07","Blazers","• Shabazz Napier","• cash considerations","trade with Magic"
"197","2016-07-07","Bucks","• Mirza Teletovic","","signed unrestricted free agent to a 3-year, $30M contract"
"198","2016-07-07","Bulls","","• Spencer Dinwiddie","waived"
"199","2016-07-07","Bulls","• Rajon Rondo","","signed unrestricted free agent to a 2-year, $28M contract"
"200","2016-07-07","Bulls","• rights to Ater Majok","• Jose Calderon• 2018 second round pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)• 2019 second round pick (?-?)","trade with Lakers"
"201","2016-07-07","Grizzlies","• Chandler Parsons","","signed unrestricted free agent to a 4-year, $94.8M contract"
"202","2016-07-07","Hawks","• rights to Taurean Prince• traded player exception","• Jeff Teague","3-team trade with Jazz, Pacers"
"203","2016-07-07","Heat","• Rodney McGruder","","signed free agent to a 3-year contract"
"204","2016-07-07","Hornets","• Brian Roberts","","signed unrestricted free agent to a 1-year minimum contract"
"205","2016-07-07","Hornets","• Marco Belinelli","• rights to Malachi Richardson","trade with Kings"
"206","2016-07-07","Hornets","• Ramon Sessions","","signed unrestricted free agent to a 2-year, $12.5M contract"
"207","2016-07-07","Hornets","• Roy Hibbert","","signed unrestricted free agent to a 1-year, $5M contract"
"208","2016-07-07","Jazz","• 2021 second round pick (?-?)","• Trey Burke","trade with Wizards"
"209","2016-07-07","Jazz","• Boris Diaw• 2022 second round pick (?-?)• cash","• rights to Olivier Hanlan• traded player exception","trade with Spurs"
"210","2016-07-07","Jazz","• George Hill","• rights to Taurean Prince","3-team trade with Hawks, Pacers"
"211","2016-07-07","Kings","• rights to Malachi Richardson","• Marco Belinelli","trade with Hornets"
"212","2016-07-07","Knicks","• Marshall Plumlee","","signed free agent to a 1-year contract"
"213","2016-07-07","Lakers","• Jose Calderon• 2018 second round pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)• 2019 second round pick (?-?)","• rights to Ater Majok","trade with Bulls"
"214","2016-07-07","Lakers","• Luol Deng","","signed unrestricted free agent to a 4-year, $72M contract"
"215","2016-07-07","Magic","• Bismack Biyombo","","signed unrestricted free agent to a 4-year, $70-72M contract"
"216","2016-07-07","Magic","• cash considerations","• Shabazz Napier","trade with Blazers"
"217","2016-07-07","Magic","• D.J. Augustine","","signed unrestricted free agent to a 4-year, $29M contract"
"218","2016-07-07","Magic","• Jeff Green","","signed unrestricted free agent to a 1-year, $15M contract"
"219","2016-07-07","Mavericks","• Andrew Bogut• 2020 second round pick (?-?)","• 2019 second round pick (protected top 55) (?-?)• traded player exception","trade with Warriors"
"220","2016-07-07","Mavericks","• Harrison Barnes","","signed restricted free agent to a 4-year, $94M contract (Warriors declined to match Mavericks offer sheet)"
"221","2016-07-07","Mavericks","• rights to Stanko Barac","• Jeremy Evans• rights to Emir Preldzic• cash considerations","trade with Pacers"
"222","2016-07-07","Nets","• Jeremy Lin","","signed unrestricted free agent to a 3-year, $36M contract"
"223","2016-07-07","Nets","• rights to Caris LeVert• second round pick (protected #45-60 in 2017-22, unprotected in 2023) (?-?)","• Thaddeus Young","trade with Pacers"
"224","2016-07-07","Pacers","• Jeff Teague","• George Hill","3-team trade with Hawks, Jazz"
"225","2016-07-07","Pacers","• Jeremy Evans• rights to Emir Preldzic• cash considerations","• rights to Stanko Barac","trade with Mavericks"
"226","2016-07-07","Pacers","• Thaddeus Young","• rights to Caris LeVert• second round pick (protected #45-60 in 2017-22, unprotected in 2023) (?-?)","trade with Nets"
"227","2016-07-07","Pistons","","• Cameron Bairstow","waived"
"228","2016-07-07","Pistons","","• Joel Anthony","waived"
"229","2016-07-07","Pistons","• Ishmael Smith / Ish Smith","","signed unrestricted free agent to a 3-year, $18M contract"
"230","2016-07-07","Pistons","• Jon Leuer","","signed unrestricted free agent to a 4-year, $42M contract"
"231","2016-07-07","Spurs","• rights to Olivier Hanlan• traded player exception","• Boris Diaw• 2022 second round pick (?-?)• cash","trade with Jazz"
"232","2016-07-07","Timberwolves","• Brandon Rush","","signed unrestricted free agent to a 1-year, $3.5M contract"
"233","2016-07-07","Warriors","• 2019 second round pick (protected top 55) (?-?)• traded player exception","• Andrew Bogut• 2020 second round pick (?-?)","trade with Mavericks"
"234","2016-07-07","Warriors","• Kevin Durant","","signed unrestricted free agent to a 2-year, $54.3M contract (second year is player option)"
"235","2016-07-07","Wizards","","• Drew Gooden","waived"
"236","2016-07-07","Wizards","• Andrew Nicholson","","signed unrestricted free agent to a 4-year, $26M contract"
"237","2016-07-07","Wizards","• Ian Mahinmi","","signed unrestricted free agent to a 4-year, $64M contract"
"238","2016-07-07","Wizards","• Jason Smith","","signed unrestricted free agent to a 3-year, $16M contract"
"239","2016-07-07","Wizards","• Trey Burke","• 2021 second round pick (?-?)","trade with Jazz"
"240","2016-07-07","Bucks","• Matthew Dellavedova / Matt Dellavedova","• rights to Albert Miralles","trade with Cavaliers"
"241","2016-07-07","Cavaliers","• rights to Albert Miralles","• Matthew Dellavedova / Matt Dellavedova","trade with Bucks"
"242","2016-07-07","Bulls","• rights to Albert Miralles","• Mike Dunleavy Jr.• rights to Vladimir Veremeenko","trade with Cavaliers"
"243","2016-07-07","Cavaliers","• Mike Dunleavy Jr.• rights to Vladimir Veremeenko","• rights to Albert Miralles","trade with Bulls"
"244","2016-07-07","Kings","• Matt Barnes","","signed unrestricted free agent to a 2-year, $12M contract"
"245","2016-07-08","76ers","• James Webb III","","signed free agent to a 2-year contract"
"246","2016-07-08","76ers","• Shawn Long","","signed free agent to a 2-year contract"
"247","2016-07-08","Celtics","• Al Horford","","signed unrestricted free agent to a 4-year, $113M contract (fourth year is player option)"
"248","2016-07-08","Jazz","• Joe Johnson","","signed unrestricted free agent to a 2-year, $22M contract"
"249","2016-07-08","Kings","• Arron Afflalo","","signed unrestricted free agent to a 2-year, $25M contract"
"250","2016-07-08","Kings","• Garrett Temple","","signed unrestricted free agent to a 3-year, $24M contract"
"251","2016-07-08","Knicks","• Brandon Jennings","","signed unrestricted free agent to a 1-year, ~$5M contract"
"252","2016-07-08","Knicks","• Courtney Lee","","signed unrestricted free agent to a 4-year, $48M contract"
"253","2016-07-08","Knicks","• Joakim Noah","","signed unrestricted free agent to a 4-year, $72M contract"
"254","2016-07-08","Lakers","• Timofey Mozgov","","signed unrestricted free agent to a 4-year, $64M contract"
"255","2016-07-08","Mavericks","","• JaVale McGee","waived"
"256","2016-07-08","Mavericks","• Dorian Finney-Smith","","signed free agent"
"257","2016-07-08","Nets","• Trevor Booker","","signed unrestricted free agent to a 2-year, $18M contract"
"258","2016-07-08","Pacers","• Al Jefferson","","signed unrestricted free agent to a 3-year, $30M contract"
"259","2016-07-08","Suns","• Jared Dudley","","signed unrestricted free agent to a 3-year, $30M contract"
"260","2016-07-09","76ers","• Gerald Henderson (b)","","signed unrestricted free agent to a 2-year, $18M contract"
"261","2016-07-09","Kings","• Anthony Tolliver","","signed unrestricted free agent to a 2-year, $16M contract (second year guaranteed for $2M)"
"262","2016-07-09","Knicks","• Mindaugas Kuzminskas","","signed free agent"
"263","2016-07-09","Rockets","","• Andrew Goudelock","waived"
"264","2016-07-09","Rockets","• Eric Gordon","","signed unrestricted free agent to a 4-year, $53M contract"
"265","2016-07-09","Rockets","• Ryan Anderson","","signed unrestricted free agent to a 4-year, $80M contract"
"266","2016-07-09","Warriors","• David West","","signed unrestricted free agent to a 1-year minimum contract"
"267","2016-07-10","Heat","• Derrick Williams","","signed unrestricted free agent to a 1-year, $5M contract"
"268","2016-07-10","Heat","• James Johnson","","signed unrestricted free agent to a 1-year, $4M contract"
"269","2016-07-10","Heat","• Luke Babbitt","• 2018 second round pick (#51-Tony Carr)• cash","trade with Pelicans"
"270","2016-07-10","Heat","• Wayne Ellington","","signed unrestricted free agent to a 2-year, $12M contract (second year is team option)"
"271","2016-07-10","Mavericks","• Harrison Barnes","","signed restricted free agent to a 4-year, $94M contract (Warriors declined to match Mavericks offer sheet) (NBA)"
"272","2016-07-10","Pelicans","• 2018 second round pick (#51-Tony Carr)• cash","• Luke Babbitt","trade with Heat"
"273","2016-07-11","Grizzlies","","• Tony Wroten Jr.","waived"
"274","2016-07-11","Nets","• Justin Hamilton (b)","","signed unrestricted free agent to a 2-year, $6M contract"
"275","2016-07-11","Pistons","• Boban Marjanovic","","signed restricted free agent to a 3-year, $21M contract (Spurs declined to match Pistons offer sheet)"
"276","2016-07-11","Spurs","","• Tim Duncan","waived"
"277","2016-07-12","76ers","• Jerryd Bayless","","signed unrestricted free agent to a 3-year, $27M contract"
"278","2016-07-12","76ers","• Sergio Rodriguez","","signed free agent to a 1-year, $8M contract"
"279","2016-07-12","Clippers","• Marreese Speights","","signed unrestricted free agent to a 1-year minimum contract"
"280","2016-07-12","Hawks","","• Lamar Patterson","waived"
"281","2016-07-12","Hawks","• Dwight Howard","","signed unrestricted free agent to a 3-year, $70.5M contract"
