"","Date","Team","Acquired","Relinquished","Notes"
"50","2015-06-11","Pistons","• Ersan Ilyasova","• Caron Butler• Shawne Williams","trade with Bucks"
"51","2015-06-15","Clippers","• Lance Stephenson","• Spencer Hawes• Matt Barnes","trade with Hornets"
"52","2015-06-15","Hornets","• Spencer Hawes• Matt Barnes","• Lance Stephenson","trade with Clippers"
"53","2015-06-24","Blazers","• Gerald Henderson (b)• Noah Vonleh","• Nicolas Batum","trade with Hornets"
"54","2015-06-24","Grizzlies","• Luke Ridnour","• rights to Janis Timma","trade with Magic"
"55","2015-06-24","Hornets","• Nicolas Batum","• Gerald Henderson (b)• Noah Vonleh","trade with Blazers"
"56","2015-06-24","Magic","• rights to Janis Timma","• Luke Ridnour","trade with Grizzlies"
"57","2015-06-25","76ers","• 2020 second round pick (?-?)• 2021 second round pick (?-?)• cash","• rights to Guillermo Hernangomez / Willy Hernangomez","trade with Knicks"
"58","2015-06-25","Knicks","• rights to Guillermo Hernangomez / Willy Hernangomez","• 2020 second round pick (?-?)• 2021 second round pick (?-?)• cash","trade with 76ers"
"59","2015-06-25","Grizzlies","• Matt Barnes","• Luke Ridnour","trade with Hornets"
"60","2015-06-25","Hornets","• Luke Ridnour","• Matt Barnes","trade with Grizzlies"
"61","2015-06-25","Hornets","• Jeremy Lamb","• Luke Ridnour• second round pick (protected #56-60 in 2016, unprotected in 2017) (2016 #53-Petr Cornelie)","trade with Thunder"
"62","2015-06-25","Thunder","• Luke Ridnour• second round pick (protected #56-60 in 2016, unprotected in 2017) (2016 #53-Petr Cornelie)","• Jeremy Lamb","trade with Hornets"
"63","2015-06-25","Blazers","• Mason Plumlee• rights to Pat Connaughton","• Steve Blake• rights to Rondae Hollis-Jefferson","trade with Nets"
"64","2015-06-25","Blazers","• rights to Daniel Diez","• cash considerations","trade with Jazz"
"65","2015-06-25","Bucks","• Greivis Vasquez","• rights to Norman Powell• first round pick (protected top 14 in 2017-19, else 2020 second round pick, 2021 second round pick) (2017 #23-Ogugua Anunoby / O.G. Anunoby)","trade with Raptors"
"66","2015-06-25","Cavaliers","• rights to Cedi Osman• rights to Rakeem Christmas• 2019 second round pick (?-?)","• rights to Tyus Jones","trade with Timberwolves"
"67","2015-06-25","Clippers","• rights to Branden Dawson","• cash considerations","trade with Pelicans"
"68","2015-06-25","Grizzlies","• rights to Andrew Harrison","• Jon Leuer","trade with Suns"
"69","2015-06-25","Hawks","• Tim Hardaway Jr.• 2016 second round pick (from Wizards) (#44-Isaia Cordinier)• 2019 second round pick (from Wizards) (?-?)","• rights to Kelly Oubre Jr.","3-team trade with Knicks, Wizards"
"70","2015-06-25","Hornets","• 2018 second round pick (less favorable of Cavaliers, Nets) (#55-Arnoldas Kulboka)• 2019 second round pick (?-?)• cash considerations","• rights to Juan Vaulet / Juan Pablo Vaulet","trade with Nets"
"71","2015-06-25","Jazz","• cash considerations","• rights to Daniel Diez","trade with Blazers"
"72","2015-06-25","Knicks","• rights to Jerian Grant","• Tim Hardaway Jr.","3-team trade with Hawks, Wizards"
"73","2015-06-25","Nets","• rights to Juan Vaulet / Juan Pablo Vaulet","• 2018 second round pick (less favorable of Cavaliers, Nets) (#55-Arnoldas Kulboka)• 2019 second round pick (?-?)• cash considerations","trade with Hornets"
"74","2015-06-25","Nets","• Steve Blake• rights to Rondae Hollis-Jefferson","• Mason Plumlee• rights to Pat Connaughton","trade with Blazers"
"75","2015-06-25","Pelicans","• cash considerations","• rights to Branden Dawson","trade with Clippers"
"76","2015-06-25","Raptors","• rights to Norman Powell• first round pick (protected top 14 in 2017-19, else 2020 second round pick, 2021 second round pick) (2017 #23-Ogugua Anunoby / O.G. Anunoby)","• Greivis Vasquez","trade with Bucks"
"77","2015-06-25","Suns","• Jon Leuer","• rights to Andrew Harrison","trade with Grizzlies"
"78","2015-06-25","Timberwolves","• rights to Tyus Jones","• rights to Cedi Osman• rights to Rakeem Christmas• 2019 second round pick (?-?)","trade with Cavaliers"
"79","2015-06-25","Wizards","• rights to Kelly Oubre Jr.","• rights to Jerian Grant• 2016 second round pick (#44-Isaia Cordinier)• 2019 second round pick (?-?)","3-team trade with Hawks, Knicks"
"80","2015-06-30","Raptors","• Luke Ridnour• cash","• rights to Tomislav Zubcic• trade exception","trade with Thunder"
"81","2015-06-30","Thunder","• rights to Tomislav Zubcic• trade exception","• Luke Ridnour• cash","trade with Raptors"
"82","2015-07-09","76ers","• Nik Stauskas• Jason Thompson• Carl Landry• 76ers option to swap 2016 first round picks with Kings (Kings pick protected #11-30, else extinguished) (not exercised)• 76ers option to swap 2017 first round picks with Kings (Kings pick protected #11-30 if Kings do not convey first round pick to Cavaliers in 2016) (#3-Jayson Tatum)• first round pick (at least 2 years after Kings convey first round pick to Cavaliers from earlier trade, protected top 10 in 2018, unprotected in 2019) (?-?)","• rights to Arturas Gudaitis• rights to Luka Mitrovic• 76ers option to swap 2016 first round picks with Kings (Kings pick protected #11-30) (not exercised)• 76ers option to swap 2017 first round picks with Kings (Kings pick protected #11-30 if Kings do not convey first round pick to Cavaliers in 2016) (#5-De'Aaron Fox)","trade with Kings"
"83","2015-07-09","Bucks","• 2018 second round pick (protected top 55) (not exercised)","• Zaur Pachulia / Zaza Pachulia","trade with Mavericks"
"84","2015-07-09","Bucks","• 2020 second round pick (protected top 55; modified in subsequent trade to protected top 45 in 2020, else unprotected in 2022) (?-?)","• Jared Dudley","trade with Wizards"
"85","2015-07-09","Hawks","• Tiago Splitter","• rights to Giorgos Printezis• 2017 second round pick (protected top 55) (not exercised)","trade with Spurs"
"86","2015-07-09","Kings","• 2016 second round pick (#59-Isaiah Cousins)","• Ray McCallum Jr.","trade with Spurs"
"87","2015-07-09","Kings","• rights to Arturas Gudaitis• rights to Luka Mitrovic• 76ers option to swap 2016 first round picks with Kings (Kings pick protected #11-30) (not exercised)• 76ers option to swap 2017 first round picks with Kings (Kings pick protected #11-30 if Kings do not convey first round pick to Cavaliers in 2016) (#5-De'Aaron Fox)","• Nik Stauskas• Jason Thompson• Carl Landry• 76ers option to swap 2016 first round picks with Kings (Kings pick protected #11-30, else extinguished) (not exercised)• 76ers option to swap 2017 first round picks with Kings (Kings pick protected #11-30 if Kings do not convey first round pick to Cavaliers in 2016) (#3-Jayson Tatum)• first round pick (at least 2 years after Kings convey first round pick to Cavaliers from earlier trade, protected top 10 in 2018, unprotected in 2019) (?-?)","trade with 76ers"
"88","2015-07-09","Mavericks","• Zaur Pachulia / Zaza Pachulia","• 2018 second round pick (protected top 55) (not exercised)","trade with Bucks"
"89","2015-07-09","Pistons","• Marcus Morris• Reggie Bullock• Danny Granger","• 2020 second round pick (?-?)","trade with Suns"
"90","2015-07-09","Spurs","• Ray McCallum Jr.","• 2016 second round pick (#59-Isaiah Cousins)","trade with Kings"
"91","2015-07-09","Spurs","• rights to Giorgos Printezis• 2017 second round pick (protected top 55) (not exercised)","• Tiago Splitter","trade with Hawks"
"92","2015-07-09","Suns","• 2020 second round pick (?-?)","• Marcus Morris• Reggie Bullock• Danny Granger","trade with Pistons"
"93","2015-07-09","Wizards","• Jared Dudley","• 2020 second round pick (protected top 55; modified in subsequent trade to protected top 45 in 2020, else unprotected in 2022) (?-?)","trade with Bucks"
"94","2015-07-09","Knicks","• Kyle O'Quinn• Magic option to swap 2019 second round picks with Knicks (?-?)","• Magic option to swap 2019 second round picks with Knicks (?-?)• cash considerations","trade with Magic"
"95","2015-07-09","Lakers","• Roy Hibbert","• 2019 second round pick (?-?)","trade with Pacers"
"96","2015-07-09","Magic","• Magic option to swap 2019 second round picks with Knicks (?-?)• cash considerations","• Kyle O'Quinn• Magic option to swap 2019 second round picks with Knicks (?-?)","trade with Knicks"
"97","2015-07-09","Pacers","• 2019 second round pick (?-?)","• Roy Hibbert","trade with Lakers"
"98","2015-07-11","Pacers","• Chase Budinger","• Damjan Rudez","trade with Timberwoves"
"99","2015-07-11","Timberwolves","• Damjan Rudez","• Chase Budinger","trade with Pacers"
"100","2015-07-13","Blazers","• Maurice Harkless / Moe Harkless","• 2020 second round pick (protected top 55) (?-?)","trade with Magic"
"101","2015-07-13","Magic","• 2020 second round pick (protected top 55) (?-?)","• Maurice Harkless / Moe Harkless","trade with Blazers"
"102","2015-07-13","Nets","• Quincy Miller","• Steve Blake","trade with Pistons"
"103","2015-07-13","Pistons","• Steve Blake","• Quincy Miller","trade with Nets"
"104","2015-07-14","Celtics","• Perry Jones III• 2019 second round pick (?-?)• cash","• 2018 second round pick (protected top 55) (#57-Kevin Hervey)","trade with Thunder"
"105","2015-07-14","Thunder","• 2018 second round pick (protected top 55) (#57-Kevin Hervey)","• Perry Jones III• 2019 second round pick (?-?)• cash","trade with Celtics"
"106","2015-07-20","Nuggets","• Nick Johnson• Kostas Papanikolaou• Pablo Prigioni• Joey Dorsey• 2016 first round pick (protected top 14 in 2016, else 2017 second round pick, cash) (#15-Juancho Hernangomez / Juan Hernangomez)• cash considerations","• Ty Lawson• 2017 second round pick (#43-Isaiah Hartenstein)","trade with Rockets"
"107","2015-07-20","Rockets","• Ty Lawson• 2017 second round pick (#43-Isaiah Hartenstein)","• Nick Johnson• Kostas Papanikolaou• Pablo Prigioni• Joey Dorsey• 2016 first round pick (protected top 14 in 2016, else 2017 second round pick, cash) (#15-Juancho Hernangomez / Juan Hernangomez)• cash considerations","trade with Nuggets"
"108","2015-07-23","Cavaliers","• 2019 second round pick (?-?)","• rights to Rakeem Christmas","trade with Pacers"
"109","2015-07-23","Pacers","• rights to Rakeem Christmas","• 2019 second round pick (?-?)","trade with Cavaliers"
"110","2015-07-27","Blazers","• Brendan Haywood• Mike Miller• 2019 second round pick (more favorable of Lakers, Timberwolves picks) (?-?)• 2020 second round pick (?-?)","• 2 trade exceptions (?) (?) / cash considerations (P S)","trade with Cavaliers"
"111","2015-07-27","Cavaliers","• 2 trade exceptions (?) (?) / cash considerations (P S)","• Brendan Haywood• Mike Miller• 2019 second round pick (more favorable of Lakers, Timberwolves picks) (?-?)• 2020 second round pick (?-?)","trade with Blazers"
"112","2015-07-27","Celtics","• David Lee","• Gerald Wallace• Chris Babb","trade with Warriors"
"113","2015-07-27","Celtics","• Zoran Dragic• 2020 second round pick (?-?)• cash","• 2019 second round pick (protected top 55 in 2019, else extinguished) (?-?)","trade with Heat"
"114","2015-07-27","Heat","• 2016 second round pick (protected top 55 in 2016, else extinguished) (not exercised)","• Shabazz Napier• cash considerations","trade with Magic"
"115","2015-07-27","Heat","• 2019 second round pick (protected top 55 in 2019, else extinguished) (?-?)","• Zoran Dragic• 2020 second round pick (?-?)• cash","trade with Heat"
"116","2015-07-27","Magic","• Shabazz Napier• cash considerations","• 2016 second round pick (protected top 55 in 2016, else extinguished) (not exercised)","trade with Heat"
"117","2015-07-27","Warriors","• Gerald Wallace• Chris Babb","• David Lee","trade with Celtics"
"118","2015-07-31","76ers","• Gerald Wallace• 76ers option to swap 2016 first round picks with Warriors (not exercised)• cash considerations","• Jason Thompson• 76ers option to swap 2016 first round picks (less favorable of Heat (protected top 10), Thunder (protected top 15) picks) with Warriors (not exercised)","trade with Warriors"
"119","2015-07-31","Warriors","• Jason Thompson• 76ers option to swap 2016 first round picks (less favorable of Heat (protected top 10), Thunder (protected top 15) picks) with Warriors (not exercised)","• Gerald Wallace• 76ers option to swap 2016 first round picks with Warriors (not exercised)• cash considerations","trade with 76ers"
"120","2015-11-10","Grizzlies","• Mario Chalmers• James Ennis","• Beno Udrih• Jarnell Stokes","trade with Heat"
"121","2015-11-10","Heat","• Beno Udrih• Jarnell Stokes","• Mario Chalmers• James Ennis","trade with Grizzlies"
"122","2015-12-24","76ers","• Ishmael Smith / Ish Smith","• 2016 second round pick (#39-David Michineau)• 2017 second round pick (#34-Frank Mason)","trade with Pelicans"
"123","2015-12-24","Pelicans","• 2016 second round pick (#39-David Michineau)• 2017 second round pick (#34-Frank Mason)","• Ishmael Smith / Ish Smith","trade with 76ers"
"124","2016-01-12","Cavaliers","• 2020 second round pick (protected top 55) (?-?)","• Joe Harris• 2017 second round pick (protected top 55) (not exercised)","trade with Magic"
"125","2016-01-12","Magic","• Joe Harris• 2017 second round pick (protected top 55) (not exercised)","• 2020 second round pick (protected top 55) (?-?)","trade with Cavaliers"
"126","2016-01-22","Clippers","• rights to Maarty Leunen","• Josh Smith• rights to Sergei Lishouk / Sergei Lishchuk• cash","trade with Rockets"
"127","2016-01-22","Rockets","• Josh Smith• rights to Sergei Lishouk / Sergei Lishchuk• cash","• rights to Maarty Leunen","trade with Clippers"
"128","2016-02-11","Suns","• Kris Humphries• DeJuan Blair• 2016 first round pick (protected top 9 in 2016-21) (#13-Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis)","• Markieff Morris","trade with Wizards"
"129","2016-02-11","Wizards","• Markieff Morris","• Kris Humphries• DeJuan Blair• 2016 first round pick (protected top 9 in 2016-21) (#13-Georgios Papagiannis / Giorgios Papagiannis / George Papagiannis)","trade with Suns"
"130","2016-02-16","Grizzlies","• P.J. Hairston• Chris Andersen• 2018 second round pick (from Hornets) (#41-Jarred Vanderbilt)• second round pick (from Heat) (protected #41-60 in 2017, unprotected in 2018) (2018 #46-De'Anthony Melton)• 2019 second round pick (from Heat) (protected top 55) (?-?)• 2019 second round pick (from Hornets) (?-?)","• Courtney Lee• cash","3-team trade with Heat, Hornets"
"131","2016-02-16","Heat","• Brian Roberts","• Chris Andersen• second round pick (protected #41-60 in 2017, unprotected in 2018) (2018 #46-De'Anthony Melton)• 2019 second round pick (protected top 55) (?-?)","3-team trade with Grizzlies, Hornets"
"132","2016-02-16","Hornets","• Courtney Lee• cash","• Brian Roberts• P.J. Hairston• 2018 second round pick (#41-Jarred Vanderbilt)• 2019 second round pick (?-?)","3-team trade with Grizzlies, Heat"
"133","2016-02-16","Magic","• Brandon Jennings• Ersan Ilyasova","• Tobias Harris","trade with Pistons"
"134","2016-02-16","Pistons","• Tobias Harris","• Brandon Jennings• Ersan Ilyasova","trade with Magic"
"135","2016-02-18","Blazers","• Anderson Varejao• first round pick (at least 2 years after Cavaliers have conveyed first round pick to Celtics) (protected top 10 in 2018-19) (2018 #25-Moritz Wagner / Moe Wagner)","• 2020 second round pick (?-?)","trade with Cavaliers"
"136","2016-02-18","Cavaliers","• 2020 second round pick (?-?)","• Anderson Varejao• first round pick (at least 2 years after Cavaliers have conveyed first round pick to Celtics) (protected top 10 in 2018-19) (2018 #25-Moritz Wagner / Moe Wagner)","trade with Blazers"
"137","2016-02-18","Cavaliers","• Channing Frye","• Jared Cunningham• 2020 second round pick (?-?)","trade with Magic"
"138","2016-02-18","Magic","• Jared Cunningham• 2020 second round pick (?-?)","• Channing Frye","trade with Cavaliers"
"139","2016-02-18","Bulls","• Justin Holiday• 2018 second round pick (from Jazz) (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)","• Kirk Hinrich","3-team trade with Jazz, Hawks"
"140","2016-02-18","Hawks","• Kirk Hinrich","• Justin Holiday• Shelvin Mack","3-team trade with Bulls, Jazz"
"141","2016-02-18","Jazz","• Shelvin Mack","• 2018 second round pick (#47-Sviatoslav Mykhailiuk / Svi Mykhailiuk)","3-team trade with Bulls, Hawks"
"142","2016-02-18","Heat","• 2018 second round pick (protected top 55, subsequent trade of this pick back to Pelicans effectively removed protection) (#51-Tony Carr)","• Jarnell Stokes• cash considerations","trade with Pelicans"
"143","2016-02-18","Pelicans","• Jarnell Stokes• cash considerations","• 2018 second round pick (protected top 55, subsequent trade of this pick back to Pelicans effectively removed protection) (#51-Tony Carr)","trade with Heat"
"144","2016-02-18","Nuggets","• D.J. Augustine• Steve Novak• 2016 second round pick (protected #56-60 in 2016, unprotected in 2017) (2016 #53-Petr Cornelie)• 2016 second round pick (#56-Daniel Hamilton)• cash","• Randy Foye","trade with Thunder"
"145","2016-02-18","Thunder","• Randy Foye","• D.J. Augustine• Steve Novak• 2016 second round pick (protected #56-60 in 2016, unprotected in 2017) (2016 #53-Petr Cornelie)• 2016 second round pick (#56-Daniel Hamilton)• cash","trade with Nuggets"
"146","2016-02-18","Clippers","• Jeff Green","• Lance Stephenson• first round pick (at least 2 years after Clippers convey first round pick to Raptors from earlier trade) (protected top 14 in 2019-20, else 2022 second round pick) (?-?)","trade with Grizzlies"
"147","2016-02-18","Grizzlies","• Lance Stephenson• first round pick (at least 2 years after Clippers convey first round pick to Raptors from earlier trade) (protected top 14 in 2019-20, else 2022 second round pick) (?-?)","• Jeff Green","trade with Clippers"
"148","2016-02-18","Blazers","• Brian Roberts• 2021 second round pick (?-?)","• cash considerations","trade with Heat"
"149","2016-02-18","Heat","• cash considerations","• Brian Roberts• 2021 second round pick (?-?)","trade with Blazers"
"150","2016-02-18","Pistons","• Donatas Motiejunas• Marcus Thornton (T.)","• Joel Anthony• 2016 first round pick (protected top 8 in 2016, top 10 in 2017) (voided)","trade with Rockets (trade later voided)"
